h,d,ratio,N,max_radius,lambda_min,lambda_max,gram_min
0.06,0.09,1.5,11,1.14,0.005599576170278648,1.8234917633313472,0.29807203396496956
0.08,0.12,1.5,9,1.28,0.005710051738118459,1.6232099092639192,0.300848710943489
0.1,0.15000000000000002,1.5,7,1.3000000000000003,0.0057121233799473075,1.1077062427428106,0.3059258104747812
0.06,0.09,1.5,9,0.96,0.006088238340714837,1.705781181928052,0.300848710943489
0.08,0.12,1.5,7,1.04,0.006606589099926255,1.3962613608016101,0.3059258104747812
0.1,0.35000000000000003,3.5,7,2.5,0.006682876439529637,1.1096968705744177,0.47936221515516003
0.12,0.18,1.5,5,1.2,0.007163554529914011,0.9428809921240642,0.31674154879056965
0.06,0.09,1.5,7,0.78,0.00761325024548634,1.654021248163573,0.3059258104747812
0.1,0.15000000000000002,1.5,5,1.0,0.007746326631597033,1.057706573714383,0.31674154879056965
0.08,0.2,2.5,11,2.32,0.008022249979371612,1.5096704365822866,0.47283992939153086
0.08,0.12,1.5,5,0.8,0.008648966404845538,1.3202028248085274,0.31674154879056965
0.08,0.32,4.0,11,3.52,0.009273265770216076,1.8027665286716243,0.47936507936507927
0.08,0.16,2.0,11,1.9200000000000002,0.009394538037075094,1.819655415651432,0.4333686114465404
0.08,0.2,2.5,9,1.9200000000000002,0.011492709786962233,1.1173867541085434,0.47294037652222426
0.08,0.32,4.0,9,2.88,0.011852427838624358,1.483725054837792,0.47936507936507927
0.15,0.375,2.5,5,2.1,0.012873982711310732,0.4174526575699551,0.4735147899465777
0.1,0.4,4.0,7,2.8000000000000003,0.01439097584007485,1.001686893969399,0.47936507936507927
0.1,0.25,2.5,9,2.4,0.015001855883495433,1.1120451206010558,0.47294037652222426
0.08,0.28,3.5,11,3.12,0.017476777630834626,1.48905348804045,0.47936208480330406
0.08,0.24,3.0,13,3.1999999999999997,0.019220889424758136,1.6790506356639665,0.47897820320947565
0.08,0.28,3.5,9,2.56,0.021939908893531996,1.3828651576997832,0.47936213090111635
0.12,0.42,3.5,5,2.16,0.02360119004834069,0.7574695044121931,0.47936239451444174
0.1,0.30000000000000004,3.0,7,2.2,0.02494972427990456,0.9187918083409237,0.47899846050299455
0.1,0.35000000000000003,3.5,5,1.8000000000000003,0.026136769775032685,0.7789150721971193,0.47936239451444174
0.08,0.24,3.0,11,2.7199999999999998,0.02993891043499593,1.4145464489984723,0.4789817754657822
