N,A,mode,lambda_over_d,dx,energy,initial_curvature,line_length_factor,initial_min_separation,probe_min_separation,graph_event_time,slice_event_time,event_by_tmax,slice_event_by_tmax,initial_components,initial_cycle_rank,probe_components,probe_cycle_rank,initial_orientation_entropy,probe_orientation_entropy,orientation_jsd,edge_growth,probe_branch_fraction,projection_loss_probe,separation_collapse,initial_mode_power,probe_mode_power,initial_off_power,probe_off_power,spectral_leakage_gain,total_deformation_gain_log,spectral_entropy_change,G_proxy,R_proxy,D_proxy,runtime_seconds
40,1.2,5,1.0666666666666667,0.8,0.03179892340087251,0.31343915838897135,1.2870822796025583,3.1999999999999957,3.9999999999999964,,,0,0,2,2,2,2,0.6216097450797547,0.8830374409547557,0.07144553938090145,0.068992871486951,0.0,0.4666666666666667,-0.2500000000000005,0.8642640687119296,0.5445584412271579,0.04573593128807163,0.08044155877284342,0.04015627716243688,-0.3756929497739923,0.08860530469978091,0.04015627716243688,0.14043841086785247,0.5996450760071499,3.1802444458007812
40,1.2,6,0.8888888888888888,0.8,0.03577769218454356,0.3207501231430627,1.3904299029501197,3.1999999999999957,4.800000000000001,,,0,0,2,2,2,2,0.6296684517256448,0.9584114221179799,0.17242301678862917,0.10008345855698182,0.0,0.5238095238095238,-0.5000000000000021,0.7329631918445487,0.66781509559605,0.046236808155451836,0.07778490440394914,0.043041856125218866,-0.04407848895688791,0.06130860340478368,0.043041856125218866,0.272506475345611,0.8369935357418458,3.5675435066223145
40,1.2,7,0.7619047619047619,0.8,0.040474592156881546,0.31591370144062186,1.5014617913634596,3.1999999999999957,5.600000000000001,,,0,0,2,2,2,2,0.6309297535714555,0.8376399757804952,0.3438358967580917,0.060624621816434424,0.0,0.5294117647058824,-0.7500000000000026,0.7493706814228465,0.6979832789782946,0.048629318577154024,0.06941672102170382,0.0277398128320854,-0.03910041963690942,0.050794330433254875,0.0277398128320854,0.4044605185745261,1.090501158812431,3.674128293991089
40,1.2,8,0.6666666666666666,0.8,0.045895537665550865,0.3047658389479683,1.6180981755187525,3.1999999999999957,5.600000000000001,,,0,0,2,2,2,2,0.627163236369738,0.8586727110732523,0.32275887468111053,-0.09531017980432428,0.0,0.5,-0.7500000000000026,0.9187467217919574,0.41795169078398153,0.002853278208042931,0.017248309216018387,0.015668116866728178,-0.7503055943986817,0.048668376836588735,0.015668116866728178,0.4180690544854348,1.0665962148746932,3.4525327682495117
40,1.4,1,5.333333333333333,0.8,0.023352137674479564,0.048387516590006806,1.018631480747818,3.1999999999999957,3.1999999999999957,6.0,6.0,1,1,2,2,2,2,0.38308266258352325,0.38308266258352325,0.0,0.0,0.0,0.14893617021276595,0.0,1.0316911199105896,0.9998537917968868,0.0489088800894113,0.04714620820311355,-0.0017085267598782883,-0.031587510539399295,-0.0017895908733466664,0.0,0.0,0.14894692152958366,3.4207253456115723
40,1.4,2,2.6666666666666665,0.8,0.024829110526347946,0.14527903248956,1.0717459673637026,3.1999999999999957,3.1999999999999957,,,0,0,2,2,2,2,0.5209123406908575,0.5209123406908575,0.0,0.0,0.0,0.2592592592592593,0.0,1.1057051631339214,1.0413124844134227,0.04869483686607956,0.04268751558657802,-0.005433022725940289,-0.06292282546001352,-0.007623245940948958,0.0,0.0,0.25937131181057016,3.3884150981903076
40,1.4,3,1.7777777777777777,0.8,0.027290731839223325,0.22306754082365096,1.1528693940291745,3.1999999999999957,3.1999999999999957,,,0,0,2,2,2,2,0.5860322536121186,0.5860322536121186,0.0,0.0,0.0,0.34426229508196726,0.0,1.0316911199105896,0.9525882397289688,0.0489088800894113,0.05041176027103178,0.0014567152441413564,-0.0745209334479585,0.005800123018128503,0.0014567152441413564,0.0,0.34431115178298966,3.5897843837738037
40,1.4,4,1.3333333333333333,0.8,0.030737032944765277,0.26303067421494947,1.2550378675616685,3.1999999999999957,3.1999999999999957,,,0,0,2,2,2,2,0.6166819827493992,0.8527924884900376,0.058875587161414535,0.057158413839948206,0.0,0.4444444444444444,0.0,1.0335900620159524,0.9044358867359598,0.019209937984048464,0.10676411326404234,0.0847088013879896,-0.04031553717841942,0.11868643918068171,0.0847088013879896,0.11603400100136274,0.5200893405986466,3.601027727127075
40,1.4,5,1.0666666666666667,0.8,0.035168657548069575,0.2747787024768782,1.372170078752791,3.1999999999999957,3.9999999999999964,,,0,0,2,2,2,2,0.6289054987282631,0.960394880934547,0.13330086688213028,0.1251631429540052,0.0,0.5294117647058824,-0.2500000000000005,0.9908326112068535,0.9908326112068542,0.044167388793147966,0.08416738879314756,0.04037008829497289,0.037919234862257976,0.04554697305910825,0.07828932315723086,0.2584640098361355,0.6914855097874244,3.9097981452941895
40,1.4,6,0.8888888888888888,0.8,0.04058087106179687,0.2707831726633902,1.5014615243349543,3.1999999999999957,3.9999999999999964,,,0,0,2,2,2,2,0.6306589833466192,0.980011174237165,0.14550866600867654,0.13657553500574993,0.0,0.574468085106383,-0.2500000000000005,1.1057051631339214,0.8634623397571621,0.04869483686607956,0.10213766024283777,0.048333701567636576,-0.178586337676171,0.09800397400790403,0.048333701567636576,0.28208420101442644,0.7400182604070072,3.674428939819336
