x,y,block,inside_target
58.375,-0.45,8.315238182290486e-05,False
58.5,-0.45,3.0574032660515875e-05,False
58.625,-0.45,-6.835763347110433e-05,False
58.75,-0.45,-0.00015434450310476135,False
58.875,-0.45,-0.00016990834722947266,False
59.0,-0.45,-8.431768317322902e-05,False
59.125,-0.45,9.306982742933017e-05,False
59.25,-0.45,0.00031580965866483747,False
59.375,-0.45,0.0005178311859381409,False
59.5,-0.45,0.0006379335728553352,False
59.625,-0.45,0.0006415812806281088,False
59.75,-0.45,0.000531890791816803,False
59.875,-0.45,0.00034637337927831137,False
60.0,-0.45,0.00014167388699137587,False
10.0,-0.4375,0.10254172452675157,False
10.125,-0.4375,0.24717227110985432,False
10.25,-0.4375,0.23966934178462113,False
10.375,-0.4375,0.11498638146763847,False
10.5,-0.4375,-0.045691918233509876,False
10.625,-0.4375,-0.15661108127151668,False
10.75,-0.4375,-0.16579270195115403,False
10.875,-0.4375,-0.07446923631323725,False
11.0,-0.4375,0.06867615413516812,False
11.125,-0.4375,0.19360138173834654,False
11.25,-0.4375,0.24226867668981802,False
11.375,-0.4375,0.1941907621156026,False
11.5,-0.4375,0.07361230056301807,False
11.625,-0.4375,-0.06351356680965943,False
11.75,-0.4375,-0.15572666267597762,False
11.875,-0.4375,-0.16318990112884724,False
12.0,-0.4375,-0.0839129054954313,False
12.125,-0.4375,0.04727303640444651,False
12.25,-0.4375,0.17546430433145768,False
12.375,-0.4375,0.2499471708618045,False
12.5,-0.4375,0.2450679174103665,False
12.625,-0.4375,0.16900954253338774,False
12.75,-0.4375,0.057596123019216156,False
12.875,-0.4375,-0.043082662930885064,False
13.0,-0.4375,-0.09687535755572202,False
13.125,-0.4375,-0.09165164257899253,False
13.25,-0.4375,-0.04167419566143698,False
13.375,-0.4375,0.021756580101198228,False
13.5,-0.4375,0.06621909461331037,False
13.625,-0.4375,0.07296297170748305,False
13.75,-0.4375,0.04398352693128452,False
13.875,-0.4375,-0.001229447303503193,False
14.0,-0.4375,-0.0369648134281532,False
14.125,-0.4375,-0.04471780328575764,False
14.25,-0.4375,-0.022234362122466267,False
14.375,-0.4375,0.015982799845928618,False
14.5,-0.4375,0.04665359782951823,False
14.625,-0.4375,0.050102676830021196,False
14.75,-0.4375,0.020951886838782772,False
14.875,-0.4375,-0.028098550975403768,False
15.0,-0.4375,-0.07134281260920514,False
