x,y,block
20.35,-0.2,-5.0141032014046846e-08
20.3525,-0.2,-5.519539473788194e-08
20.355,-0.2,-6.08713839735534e-08
20.3575,-0.2,-6.719979469286325e-08
20.36,-0.2,-7.421090521174715e-08
20.3625,-0.2,-8.193438967286879e-08
20.365,-0.2,-9.039923209459039e-08
20.3675,-0.2,-9.963364203252788e-08
20.37,-0.2,-1.0966497190376156e-07
20.3725,-0.2,-1.205196360293223e-07
20.375,-0.2,-1.322230314349423e-07
20.3775,-0.2,-1.4479946046509933e-07
20.38,-0.2,-1.5827205525159826e-07
20.3825,-0.2,-1.7266270408216365e-07
20.385,-0.2,-1.879919797154395e-07
20.3875,-0.2,-2.0427906968003136e-07
20.39,-0.2,-2.215417086034167e-07
20.3925,-0.2,-2.397961126072588e-07
20.395,-0.2,-2.5905691580936563e-07
20.3975,-0.2,-2.793371089684342e-07
20.4,-0.2,-3.006479803096013e-07
20.4025,-0.2,-3.229990585617098e-07
20.405,-0.2,-3.463980582458307e-07
20.4075,-0.2,-3.7085082724029006e-07
20.41,-0.2,-3.963612966548891e-07
20.4125,-0.2,-4.229314330523828e-07
20.415,-0.2,-4.505611930283772e-07
20.4175,-0.2,-4.792484801923904e-07
20.42,-0.2,-5.089891045682725e-07
20.4225,-0.2,-5.397767444353493e-07
20.425,-0.2,-5.716029106433231e-07
20.4275,-0.2,-6.044569134083899e-07
20.43,-0.2,-6.383258316221082e-07
20.4325,-0.2,-6.731944846895491e-07
20.435,-0.2,-7.090454069048026e-07
20.4375,-0.2,-7.458588243928567e-07
20.44,-0.2,-7.836126346265319e-07
20.4425,-0.2,-8.222823885269122e-07
20.445,-0.2,-8.618412751679393e-07
20.4475,-0.2,-9.022601090898966e-07
20.45,-0.2,-9.43507320232387e-07
20.4525,-0.2,-9.855489464921952e-07
20.455,-0.2,-1.0283486289219617e-06
20.4575,-0.2,-1.0718676095560695e-06
20.46,-0.2,-1.116064731885306e-06
20.4625,-0.2,-1.1608964439788458e-06
20.465,-0.2,-1.2063168042371448e-06
20.4675,-0.2,-1.2522774898082471e-06
20.47,-0.2,-1.2987278076285716e-06
20.4725,-0.2,-1.3456147081140313e-06
20.475,-0.2,-1.392882801479664e-06
20.4775,-0.2,-1.4404743766891998e-06
20.48,-0.2,-1.4883294230276132e-06
20.4825,-0.2,-1.536385654279508e-06
20.485,-0.2,-1.5845785355168587e-06
20.4875,-0.2,-1.6328413124712343e-06
20.49,-0.2,-1.681105043488131e-06
20.4925,-0.2,-1.7292986340405272e-06
20.495,-0.2,-1.777348873799999e-06
20.4975,-0.2,-1.8251804762197411e-06
20.5,-0.2,-1.872716120658815e-06
20.0,-0.19875,-2.6157525237073578e-05
20.0025,-0.19875,-2.521854396973488e-05
20.005,-0.19875,-2.430364225124558e-05
20.0075,-0.19875,-2.3412527590130653e-05
20.01,-0.19875,-2.254490111894047e-05
20.0125,-0.19875,-2.1700457971477726e-05
20.015,-0.19875,-2.0878887653747153e-05
20.0175,-0.19875,-2.0079874408605004e-05
20.02,-0.19875,-1.930309757404908e-05
20.0225,-0.19875,-1.854823193517401e-05
20.025,-0.19875,-1.7814948069737455e-05
20.0275,-0.19875,-1.710291268735687e-05
20.03,-0.19875,-1.6411788962277846e-05
20.0325,-0.19875,-1.574123685976874e-05
20.035,-0.19875,-1.5090913456036773e-05
20.0375,-0.19875,-1.4460473251786191e-05
20.04,-0.19875,-1.3849568479285942e-05
20.0425,-0.19875,-1.3257849403022492e-05
20.045,-0.19875,-1.268496461390884e-05
20.0475,-0.19875,-1.2130561317090118e-05
20.05,-0.19875,-1.1594285613255585e-05
20.0525,-0.19875,-1.1075782773578769e-05
20.055,-0.19875,-1.05746975082019e-05
20.0575,-0.19875,-1.0090674228335538e-05
20.06,-0.19875,-9.623357301938573e-06
20.0625,-0.19875,-9.172391303014953e-06
20.065,-0.19875,-8.737421254547081e-06
20.0675,-0.19875,-8.318092865065915e-06
20.07,-0.19875,-7.914052758879702e-06
20.0725,-0.19875,-7.5249486999977585e-06
20.075,-0.19875,-7.150429809754199e-06
20.0775,-0.19875,-6.790146778153892e-06
20.08,-0.19875,-6.44375206899087e-06
20.0825,-0.19875,-6.1109001187308285e-06
20.085,-0.19875,-5.791247529215878e-06
20.0875,-0.19875,-5.48445325422306e-06
20.09,-0.19875,-5.190178779860607e-06
20.0925,-0.19875,-4.908088298925409e-06
20.095,-0.19875,-4.637848879170496e-06
20.0975,-0.19875,-4.379130625562902e-06
20.1,-0.19875,-4.131606836574113e-06
20.1025,-0.19875,-3.8949541545266625e-06
20.105,-0.19875,-3.6688527100393908e-06
20.1075,-0.19875,-3.4529862606417087e-06
20.11,-0.19875,-3.2470423235500233e-06
20.1125,-0.19875,-3.0507123027320565e-06
20.115,-0.19875,-2.863691610209509e-06
20.1175,-0.19875,-2.685679781731667e-06
20.12,-0.19875,-2.516380586832229e-06
20.1225,-0.19875,-2.3555021333178103e-06
20.125,-0.19875,-2.2027569662667157e-06
20.1275,-0.19875,-2.0578621615672864e-06
20.13,-0.19875,-1.9205394140575107e-06
20.1325,-0.19875,-1.7905151203577345e-06
20.135,-0.19875,-1.6675204563808588e-06
20.1375,-0.19875,-1.5512914496619733e-06
20.14,-0.19875,-1.4415690465112363e-06
20.1425,-0.19875,-1.3380991740817259e-06
20.145,-0.19875,-1.2406327974010717e-06
20.1475,-0.19875,-1.1489259714359888e-06
20.15,-0.19875,-1.062739888255162e-06
20.1525,-0.19875,-9.81840919360482e-07
20.155,-0.19875,-9.060006532437638e-07
20.1575,-0.19875,-8.349959282470332e-07
20.16,-0.19875,-7.686088607943536e-07
20.1625,-0.19875,-7.066268690599359e-07
20.165,-0.19875,-6.488426921472562e-07
20.1675,-0.19875,-5.950544048526503e-07
20.17,-0.19875,-5.450654280830222e-07
20.1725,-0.19875,-4.986845350046546e-07
20.175,-0.19875,-4.557258529915572e-07
20.1775,-0.19875,-4.1600886145612383e-07
20.18,-0.19875,-3.793583856300342e-07
20.1825,-0.19875,-3.456045863780446e-07
20.185,-0.19875,-3.145829461209099e-07
20.1875,-0.19875,-2.861342509385494e-07
20.19,-0.19875,-2.6010456894016497e-07
20.1925,-0.19875,-2.3634522497793912e-07
20.195,-0.19875,-2.1471277177815216e-07
20.1975,-0.19875,-1.9506895757827724e-07
20.2,-0.19875,-1.7728069034171252e-07
20.2025,-0.19875,-1.6121999863806587e-07
20.205,-0.19875,-1.4676398926626646e-07
20.2075,-0.19875,-1.3379480170299336e-07
20.21,-0.19875,-1.221995594580793e-07
20.2125,-0.19875,-1.1187031841851454e-07
20.215,-0.19875,-1.0270401226652312e-07
20.2175,-0.19875,-9.460239505015407e-08
20.22,-0.19875,-8.747198099341707e-08
20.2225,-0.19875,-8.122398162452443e-08
20.225,-0.19875,-7.57742403112899e-08
20.2275,-0.19875,-7.10431642839302e-08
20.23,-0.19875,-6.695565422684058e-08
20.2325,-0.19875,-6.344103152750403e-08
20.235,-0.19875,-6.043296326588657e-08
20.2375,-0.19875,-5.786938502374126e-08
20.24,-0.19875,-5.5692421599976106e-08
20.2425,-0.19875,-5.384830572196095e-08
20.245,-0.19875,-5.228729482402996e-08
20.2475,-0.19875,-5.096358598948861e-08
20.25,-0.19875,-4.9835229129793015e-08
20.2525,-0.19875,-4.886403849241065e-08
20.255,-0.19875,-4.801550257399782e-08
20.2575,-0.19875,-4.725869252665955e-08
20.26,-0.19875,-4.6566169136424866e-08
20.2625,-0.19875,-4.591388846188716e-08
20.265,-0.19875,-4.5281106207622963e-08
20.2675,-0.19875,-4.4650280921665175e-08
20.27,-0.19875,-4.400697609591827e-08
20.2725,-0.19875,-4.3339761248706366e-08
20.275,-0.19875,-4.2640112075243855e-08
20.2775,-0.19875,-4.1902309741806107e-08
20.28,-0.19875,-4.11233394077872e-08
20.2825,-0.19875,-4.030278805199022e-08
20.285,-0.19875,-3.944274168557768e-08
20.2875,-0.19875,-3.8547682026912076e-08
20.29,-0.19875,-3.762438272101662e-08
20.2925,-0.19875,-3.66818051757972e-08
20.295,-0.19875,-3.573099409805302e-08
20.2975,-0.19875,-3.478497280040844e-08
20.3,-0.19875,-3.38586383598075e-08
20.3025,-0.19875,-3.2968656696940964e-08
20.305,-0.19875,-3.21333576609654e-08
20.3075,-0.19875,-3.137263017981494e-08
20.31,-0.19875,-3.0707817561899764e-08
20.3125,-0.19875,-3.016161301537734e-08
20.315,-0.19875,-2.9757955455525078e-08
20.3175,-0.19875,-2.9521925677405825e-08
20.32,-0.19875,-2.9479642956026548e-08
