index,t,value_midpoint,value_lower,value_upper
234,-0.6599999999999999,0.33188870177971175,0.33188870177971175,0.33188870177971175
235,-0.6499999999999999,0.3506784347643493,0.3506784347643493,0.3506784347643493
236,-0.6399999999999999,0.36209599006663434,0.36209599006663434,0.36209599006663434
237,-0.6299999999999999,0.36671278478088826,0.36671278478088826,0.36671278478088826
238,-0.62,0.36615757427914886,0.36615757427914886,0.36615757427914886
239,-0.61,0.3627594590692354,0.3627594590692354,0.3627594590692354
240,-0.6,0.3815284427343412,0.3815284427343412,0.3815284427343412
241,-0.59,0.4129925232456952,0.4129925232456952,0.4129925232456952
242,-0.58,0.4366564008232305,0.4366564008232305,0.4366564008232305
243,-0.57,0.4455486118697176,0.4455486118697176,0.4455486118697176
244,-0.5599999999999999,0.437832680016676,0.437832680016676,0.437832680016676
245,-0.5499999999999999,0.4130886677032295,0.4130886677032295,0.4130886677032295
246,-0.5399999999999999,0.3721951562203844,0.3721951562203844,0.3721951562203844
247,-0.5299999999999999,0.32075724963381586,0.32075724963381586,0.32075724963381586
248,-0.5199999999999999,0.27917075607091485,0.27917075607091485,0.27917075607091485
249,-0.5099999999999999,0.27441832543641537,0.27441832543641537,0.27441832543641537
250,-0.5,0.27600624205509494,0.27600624205509494,0.27600624205509494
251,-0.49,0.2737433296509078,0.2737433296509078,0.2737433296509078
252,-0.48,0.2645560339921363,0.2645560339921363,0.2645560339921363
253,-0.47,0.24398347711019144,0.24398347711019144,0.24398347711019144
254,-0.45999999999999996,0.21707317027314324,0.21707317027314324,0.21707317027314324
255,-0.44999999999999996,0.18610844962222844,0.18610844962222844,0.18610844962222844
256,-0.43999999999999995,0.1508565983204202,0.1508565983204202,0.1508565983204202
257,-0.43,0.1102673329436155,0.1102673329436155,0.1102673329436155
258,-0.42,0.063432820457524,0.063432820457524,0.063432820457524
259,-0.41,0.01124240837913306,0.01124240837913306,0.01124240837913306
260,-0.39999999999999997,-0.038764767017043913,-0.038764767017043913,-0.038764767017043913
261,-0.38999999999999996,-0.06462933163886303,-0.06462933163886303,-0.06462933163886303
262,-0.37999999999999995,-0.06630801056451546,-0.06630801056451546,-0.06630801056451546
263,-0.37,-0.06624776367647663,-0.06624776367647663,-0.06624776367647663
264,-0.36,-0.06689891414545694,-0.06689891414545694,-0.06689891414545694
265,-0.35,-0.0903605819098624,-0.0903605819098624,-0.0903605819098624
266,-0.33999999999999997,-0.13038232103433037,-0.13038232103433037,-0.13038232103433037
267,-0.32999999999999996,-0.168601355318335,-0.168601355318335,-0.168601355318335
268,-0.31999999999999995,-0.19914520281736103,-0.19914520281736103,-0.19914520281736103
269,-0.31,-0.22115683341656273,-0.22115683341656273,-0.22115683341656273
270,-0.3,-0.23509934323084433,-0.23509934323084433,-0.23509934323084433
271,-0.29,-0.241804542621491,-0.241804542621491,-0.241804542621491
272,-0.27999999999999997,-0.24281237749973344,-0.24281237749973344,-0.24281237749973344
273,-0.26999999999999996,-0.24209027124236415,-0.24209027124236415,-0.24209027124236415
274,-0.25999999999999995,-0.24504977190751492,-0.24504977190751492,-0.24504977190751492
275,-0.25,-0.2466183421038325,-0.2466183421038325,-0.2466183421038325
276,-0.24,-0.24475332341864223,-0.24475332341864223,-0.24475332341864223
277,-0.22999999999999998,-0.2462268986382008,-0.2462268986382008,-0.2462268986382008
278,-0.21999999999999997,-0.2626016597766751,-0.2626016597766751,-0.2626016597766751
279,-0.21,-0.279715522378561,-0.279715522378561,-0.279715522378561
280,-0.19999999999999998,-0.28908904589315365,-0.28908904589315365,-0.28908904589315365
281,-0.18999999999999997,-0.28823260385853505,-0.28823260385853505,-0.28823260385853505
282,-0.18,-0.2764445413662417,-0.2764445413662417,-0.2764445413662417
283,-0.16999999999999998,-0.25366793310635294,-0.25366793310635294,-0.25366793310635294
284,-0.15999999999999998,-0.2213336752370166,-0.2213336752370166,-0.2213336752370166
285,-0.15,-0.18636608893118708,-0.18636608893118708,-0.18636608893118708
286,-0.13999999999999999,-0.16836520770368013,-0.16836520770368013,-0.16836520770368013
287,-0.12999999999999998,-0.16971923833699823,-0.16971923833699823,-0.16971923833699823
288,-0.12,-0.16966782366161695,-0.16966782366161695,-0.16966782366161695
289,-0.10999999999999999,-0.1676923348000091,-0.1676923348000091,-0.1676923348000091
290,-0.09999999999999999,-0.17141696210326604,-0.17141696210326604,-0.17141696210326604
291,-0.09,-0.17912429283324277,-0.17912429283324277,-0.17912429283324277
292,-0.07999999999999999,-0.18376055122746132,-0.18376055122746132,-0.18376055122746132
293,-0.06999999999999999,-0.18269365791720077,-0.18269365791720077,-0.18269365791720077
294,-0.06,-0.1750864221697718,-0.1750864221697718,-0.1750864221697718
295,-0.049999999999999996,-0.16060237725567716,-0.16060237725567716,-0.16060237725567716
296,-0.039999999999999994,-0.1394252364916736,-0.1394252364916736,-0.1394252364916736
297,-0.03,-0.1137091989037553,-0.1137091989037553,-0.1137091989037553
298,-0.019999999999999997,-0.09197280839635075,-0.09197280839635075,-0.09197280839635075
299,-0.009999999999999998,-0.08773339902870654,-0.08773339902870654,-0.08773339902870654
300,0.0,-0.08975741774795541,-0.08975741774795541,-0.08975741774795541
301,0.009999999999999998,-0.08773339902870654,-0.08773339902870654,-0.08773339902870654
302,0.019999999999999997,-0.09197280839635075,-0.09197280839635075,-0.09197280839635075
303,0.03,-0.1137091989037553,-0.1137091989037553,-0.1137091989037553
304,0.039999999999999994,-0.1394252364916736,-0.1394252364916736,-0.1394252364916736
305,0.049999999999999996,-0.16060237725567716,-0.16060237725567716,-0.16060237725567716
306,0.06,-0.1750864221697718,-0.1750864221697718,-0.1750864221697718
307,0.06999999999999999,-0.18269365791720077,-0.18269365791720077,-0.18269365791720077
308,0.07999999999999999,-0.18376055122746132,-0.18376055122746132,-0.18376055122746132
309,0.09,-0.17912429283324277,-0.17912429283324277,-0.17912429283324277
310,0.09999999999999999,-0.17141696210326604,-0.17141696210326604,-0.17141696210326604
311,0.10999999999999999,-0.1676923348000091,-0.1676923348000091,-0.1676923348000091
312,0.12,-0.16966782366161695,-0.16966782366161695,-0.16966782366161695
313,0.12999999999999998,-0.16971923833699823,-0.16971923833699823,-0.16971923833699823
314,0.13999999999999999,-0.16836520770368013,-0.16836520770368013,-0.16836520770368013
315,0.15,-0.18636608893118708,-0.18636608893118708,-0.18636608893118708
316,0.15999999999999998,-0.2213336752370166,-0.2213336752370166,-0.2213336752370166
317,0.16999999999999998,-0.25366793310635294,-0.25366793310635294,-0.25366793310635294
318,0.18,-0.2764445413662417,-0.2764445413662417,-0.2764445413662417
319,0.18999999999999997,-0.28823260385853505,-0.28823260385853505,-0.28823260385853505
320,0.19999999999999998,-0.28908904589315365,-0.28908904589315365,-0.28908904589315365
321,0.21,-0.279715522378561,-0.279715522378561,-0.279715522378561
322,0.21999999999999997,-0.2626016597766751,-0.2626016597766751,-0.2626016597766751
323,0.22999999999999998,-0.2462268986382008,-0.2462268986382008,-0.2462268986382008
324,0.24,-0.24475332341864223,-0.24475332341864223,-0.24475332341864223
325,0.25,-0.2466183421038325,-0.2466183421038325,-0.2466183421038325
326,0.25999999999999995,-0.24504977190751492,-0.24504977190751492,-0.24504977190751492
327,0.26999999999999996,-0.24209027124236415,-0.24209027124236415,-0.24209027124236415
328,0.27999999999999997,-0.24281237749973344,-0.24281237749973344,-0.24281237749973344
329,0.29,-0.241804542621491,-0.241804542621491,-0.241804542621491
330,0.3,-0.23509934323084433,-0.23509934323084433,-0.23509934323084433
331,0.31,-0.22115683341656273,-0.22115683341656273,-0.22115683341656273
332,0.31999999999999995,-0.19914520281736103,-0.19914520281736103,-0.19914520281736103
333,0.32999999999999996,-0.168601355318335,-0.168601355318335,-0.168601355318335
334,0.33999999999999997,-0.13038232103433037,-0.13038232103433037,-0.13038232103433037
335,0.35,-0.0903605819098624,-0.0903605819098624,-0.0903605819098624
336,0.36,-0.06689891414545694,-0.06689891414545694,-0.06689891414545694
337,0.37,-0.06624776367647663,-0.06624776367647663,-0.06624776367647663
338,0.37999999999999995,-0.06630801056451546,-0.06630801056451546,-0.06630801056451546
339,0.38999999999999996,-0.06462933163886303,-0.06462933163886303,-0.06462933163886303
340,0.39999999999999997,-0.038764767017043913,-0.038764767017043913,-0.038764767017043913
341,0.41,0.01124240837913306,0.01124240837913306,0.01124240837913306
342,0.42,0.063432820457524,0.063432820457524,0.063432820457524
343,0.43,0.1102673329436155,0.1102673329436155,0.1102673329436155
344,0.43999999999999995,0.1508565983204202,0.1508565983204202,0.1508565983204202
345,0.44999999999999996,0.18610844962222844,0.18610844962222844,0.18610844962222844
346,0.45999999999999996,0.21707317027314324,0.21707317027314324,0.21707317027314324
347,0.47,0.24398347711019144,0.24398347711019144,0.24398347711019144
348,0.48,0.2645560339921363,0.2645560339921363,0.2645560339921363
349,0.49,0.2737433296509078,0.2737433296509078,0.2737433296509078
350,0.5,0.27600624205509494,0.27600624205509494,0.27600624205509494
351,0.5099999999999999,0.27441832543641537,0.27441832543641537,0.27441832543641537
352,0.5199999999999999,0.27917075607091485,0.27917075607091485,0.27917075607091485
353,0.5299999999999999,0.32075724963381586,0.32075724963381586,0.32075724963381586
354,0.5399999999999999,0.3721951562203844,0.3721951562203844,0.3721951562203844
355,0.5499999999999999,0.4130886677032295,0.4130886677032295,0.4130886677032295
356,0.5599999999999999,0.437832680016676,0.437832680016676,0.437832680016676
357,0.57,0.4455486118697176,0.4455486118697176,0.4455486118697176
358,0.58,0.4366564008232305,0.4366564008232305,0.4366564008232305
359,0.59,0.4129925232456952,0.4129925232456952,0.4129925232456952
360,0.6,0.3815284427343412,0.3815284427343412,0.3815284427343412
361,0.61,0.3627594590692354,0.3627594590692354,0.3627594590692354
362,0.62,0.36615757427914886,0.36615757427914886,0.36615757427914886
363,0.6299999999999999,0.36671278478088826,0.36671278478088826,0.36671278478088826
364,0.6399999999999999,0.36209599006663434,0.36209599006663434,0.36209599006663434
365,0.6499999999999999,0.3506784347643493,0.3506784347643493,0.3506784347643493
366,0.6599999999999999,0.33188870177971175,0.33188870177971175,0.33188870177971175
367,0.6699999999999999,0.30656815052197234,0.30656815052197234,0.30656815052197234
368,0.6799999999999999,0.27431955484082926,0.27431955484082926,0.27431955484082926
