s,round6_deficit,round7_deficit,round8_seed_deficit,round6_signed_clearance,round7_signed_clearance,round8_seed_signed_clearance
1.310000000000000053e-01,3.674372615369736472e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.632562738463026436e-02,4.182728380787033295e-02,8.439718468699385079e-02
1.320000000000000062e-01,3.097032762856298527e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.690296723714370231e-02,4.218644448882395009e-02,8.429951052779628695e-02
1.330000000000000071e-01,2.500777657062552839e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.749922234293744799e-02,4.254425716508864613e-02,8.413987775931758284e-02
1.340000000000000080e-01,1.886497029608129317e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.811350297039187152e-02,4.290073162767715081e-02,8.397821727952411996e-02
1.350000000000000089e-01,1.255593600214079120e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.874440639978592171e-02,4.325587821720598691e-02,8.381466843769072583e-02
1.360000000000000098e-01,6.206598374058625023e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.937934016259413833e-02,4.360970633102349836e-02,8.364938791641958471e-02
1.370000000000000107e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.001324903521548404e-02,4.396222647438390724e-02,8.348252929303426328e-02
1.380000000000000115e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.064601916344284804e-02,4.431344954269999387e-02,8.331424716880758696e-02
1.390000000000000124e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.127753035875085519e-02,4.466338607360478830e-02,8.314472925815291626e-02
1.400000000000000133e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.190765564549014943e-02,4.501204713926445361e-02,8.297416868997084527e-02
1.410000000000000142e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.253626082252442986e-02,4.535944409973261676e-02,8.280276081586790404e-02
1.420000000000000151e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.316320405155038564e-02,4.570558918063516440e-02,8.263070045512216355e-02
1.430000000000000160e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.378834054330288383e-02,4.605049427158672964e-02,8.245817938998324659e-02
1.440000000000000169e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.392274132708980788e-02,4.639417175606970478e-02,8.228538415485249502e-02
1.449999999999999900e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.353140853287069262e-02,4.673864287996910838e-02,8.211249414639340549e-02
1.459999999999999909e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.315820863946209784e-02,4.709791756719115124e-02,8.193968006604344934e-02
1.469999999999999918e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.280358906700943572e-02,4.747437254416528307e-02,8.176711335627677435e-02
1.479999999999999927e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.246798649063086850e-02,4.786761603564117229e-02,8.159499659890924461e-02
1.489999999999999936e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.215182459075058480e-02,4.827725152063783859e-02,8.142347987796018371e-02
1.499999999999999944e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.185551175783777667e-02,4.870287925488567260e-02,8.125266523625981896e-02
1.509999999999999953e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.157943877802015853e-02,4.914409769939106359e-02,8.108261746754830135e-02
1.519999999999999962e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.132397652879048200e-02,4.960050485047479141e-02,8.091343831508100715e-02
1.529999999999999971e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.108947371626482659e-02,5.007169946845747843e-02,8.074521878779297723e-02
1.539999999999999980e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.087625468703779547e-02,5.055728220381473098e-02,8.057803861235189602e-02
1.549999999999999989e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.067551734837480254e-02,5.105685662108168377e-02,8.041196669015478193e-02
1.559999999999999998e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.047589547692963252e-02,5.157003012204881137e-02,8.024706162367115092e-02
1.570000000000000007e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.027733257627960639e-02,5.166598286660274708e-02,8.008337228853115719e-02
1.580000000000000016e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.007979593133372681e-02,5.160945637085545545e-02,7.992098249522122666e-02
1.590000000000000024e-01,1.167458755936198744e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.988325412440638096e-02,5.155283019757581076e-02,7.975999802455009668e-02
1.600000000000000033e-01,3.123225347490266035e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.968767746525097423e-02,5.149481275034672317e-02,7.960037466116687277e-02
1.610000000000000042e-01,5.069615661927595607e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.949303843380724127e-02,5.143687389817337002e-02,7.944207401816051617e-02
1.620000000000000051e-01,7.006878701986685165e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.929931212980133232e-02,5.137802970373681055e-02,7.928510503984594060e-02
