case,epsilon,action_difference
long_after_conjugate,0.15000000000000013,-0.008621066989137782
long_after_conjugate,0.16000000000000014,-0.009808858440974344
long_after_conjugate,0.17000000000000015,-0.01107328159938148
long_after_conjugate,0.18000000000000016,-0.012414336464358522
long_after_conjugate,0.19000000000000017,-0.013832023035905916
long_after_conjugate,0.20000000000000018,-0.015326341314023217
long_after_conjugate,0.20999999999999996,-0.01689729129871087
long_after_conjugate,0.21999999999999997,-0.01854487298996821
long_after_conjugate,0.22999999999999998,-0.020269086387795898
long_after_conjugate,0.24,-0.02206993149219394
long_after_conjugate,0.25,-0.02394740830316211
long_after_conjugate,0.26,-0.025901516820699966
long_after_conjugate,0.27,-0.027932257044808173
long_after_conjugate,0.28,-0.030039628975486732
long_after_conjugate,0.29000000000000004,-0.032223632612734976
long_after_conjugate,0.30000000000000004,-0.03448426795655357
long_after_conjugate,0.31000000000000005,-0.03682153500694263
long_after_conjugate,0.32000000000000006,-0.03923543376390137
long_after_conjugate,0.33000000000000007,-0.04172596422743036
long_after_conjugate,0.3400000000000001,-0.04429312639752969
long_after_conjugate,0.3500000000000001,-0.04693692027419871
long_after_conjugate,0.3600000000000001,-0.049657345857438195
long_after_conjugate,0.3700000000000001,-0.0524544031472477
long_after_conjugate,0.3800000000000001,-0.05532809214362722
long_after_conjugate,0.3900000000000001,-0.05827841284657698
long_after_conjugate,0.40000000000000013,-0.06130536525609709
long_after_conjugate,0.41000000000000014,-0.06440894937218689
long_after_conjugate,0.42000000000000015,-0.06758916519484703
long_after_conjugate,0.43000000000000016,-0.07084601272407731
long_after_conjugate,0.44000000000000017,-0.07417949195987794
long_after_conjugate,0.4500000000000002,-0.07758960290224826
long_after_conjugate,0.4600000000000002,-0.08107634555118892
long_after_conjugate,0.47,-0.08463971990669972
long_after_conjugate,0.48,-0.08827972596878042
long_after_conjugate,0.49,-0.09199636373743159
long_after_conjugate,0.5,-0.09578963321265277
long_after_conjugate,0.51,-0.09965953439444386
long_after_conjugate,0.52,-0.10360606728280541
long_after_conjugate,0.53,-0.10762923187773699
long_after_conjugate,0.54,-0.11172902817923869
long_after_conjugate,0.55,-0.11590545618731052
long_after_conjugate,0.56,-0.12015851590195237
long_after_conjugate,0.5700000000000001,-0.12448820732316435
long_after_conjugate,0.5800000000000001,-0.12889453045094623
long_after_conjugate,0.5900000000000001,-0.13337748528529858
long_after_conjugate,0.6000000000000001,-0.13793707182622117
long_after_conjugate,0.6100000000000001,-0.14257329007371367
long_after_conjugate,0.6200000000000001,-0.1472861400277764
long_after_conjugate,0.6300000000000001,-0.15207562168840927
long_after_conjugate,0.6400000000000001,-0.15694173505561204
long_after_conjugate,0.6500000000000001,-0.16188448012938528
long_after_conjugate,0.6600000000000001,-0.1669038569097283
long_after_conjugate,0.6700000000000002,-0.17199986539664147
long_after_conjugate,0.6800000000000002,-0.17717250559012498
long_after_conjugate,0.6900000000000002,-0.1824217774901784
long_after_conjugate,0.7000000000000002,-0.18774768109680218
long_after_conjugate,0.7100000000000002,-0.19315021640999608
long_after_conjugate,0.72,-0.1986293834297599
long_after_conjugate,0.73,-0.20418518215609383
long_after_conjugate,0.74,-0.209817612588998
long_after_conjugate,0.75,-0.21552667472847242
long_after_conjugate,0.76,-0.22131236857451675
long_after_conjugate,0.77,-0.22717469412713154
long_after_conjugate,0.78,-0.233113651386316
long_after_conjugate,0.79,-0.23912924035207095
long_after_conjugate,0.8,-0.24522146102439568
long_after_conjugate,0.8100000000000003,-0.251390313403291
long_after_conjugate,0.8200000000000001,-0.257635797488756
long_after_conjugate,0.8300000000000003,-0.26395791328079143
long_after_conjugate,0.8400000000000001,-0.2703566607793968
long_after_conjugate,0.8499999999999999,-0.2768320399845722
long_after_conjugate,0.8600000000000001,-0.283384050896318
long_after_conjugate,0.8699999999999999,-0.29001269351463366
long_after_conjugate,0.8800000000000001,-0.29671796783951987
long_after_conjugate,0.8899999999999999,-0.3034998738709757
long_after_conjugate,0.9000000000000001,-0.310358411609002
long_after_conjugate,0.9099999999999999,-0.3172935810535982
long_after_conjugate,0.9200000000000002,-0.3243053822047648
long_after_conjugate,0.9299999999999999,-0.3313938150625012
long_after_conjugate,0.9400000000000002,-0.3385588796268082
long_after_conjugate,0.95,-0.34580057589768476
long_after_conjugate,0.9600000000000002,-0.35311890387513184
long_after_conjugate,0.97,-0.3605138635591488
long_after_conjugate,0.9800000000000002,-0.36798545494973617
long_after_conjugate,0.99,-0.3755336780468933
long_after_conjugate,1.0000000000000002,-0.3831585328506209
long_after_conjugate,1.01,-0.3908600193609184
long_after_conjugate,1.0200000000000002,-0.39863813757778627
long_after_conjugate,1.03,-0.4064928875012239
long_after_conjugate,1.0400000000000003,-0.4144242691312321
long_after_conjugate,1.05,-0.4224322824678099
long_after_conjugate,1.0600000000000003,-0.43051692751095844
