beta,load_fraction,connector_reserve,connector_differential_authority,max_real_eigenvalue,stability_margin
0.02,0.37086622073578596,0.629133779264214,0.8624582463171553,-0.035369196092693636,0.035369196092693636
0.02,0.37420735785953174,0.6257926421404683,0.8599688533237884,-0.03537135334151169,0.03537135334151169
0.02,0.3775484949832776,0.6224515050167224,0.857457133935862,-0.03537353024590102,0.03537353024590102
0.02,0.38088963210702337,0.6191103678929766,0.8549230881533764,-0.03537572681418833,0.03537572681418833
0.02,0.3842307692307692,0.6157692307692308,0.8523667159763314,-0.035377943054777976,0.035377943054777976
0.02,0.38757190635451505,0.6124280936454849,0.849788017404727,-0.03538017897615146,0.03538017897615146
0.02,0.39091304347826084,0.6090869565217392,0.8471869924385633,-0.035382434586868294,0.035382434586868294
0.02,0.3942541806020067,0.6057458193979933,0.8445636410778403,-0.03538470989556539,0.03538470989556539
0.02,0.3975953177257525,0.6024046822742475,0.841917963322558,-0.03538700491095751,0.03538700491095751
0.02,0.4009364548494983,0.5990635451505018,0.8392499591727163,-0.03538931964183724,0.03538931964183724
0.02,0.40427759197324414,0.5957224080267558,0.8365596286283151,-0.03539165409707516,0.03539165409707516
0.02,0.40761872909698993,0.5923812709030101,0.8338469716893547,-0.03539400828561988,0.03539400828561988
0.02,0.41095986622073577,0.5890401337792642,0.831111988355835,-0.035396382216498365,0.035396382216498365
0.02,0.4143010033444816,0.5856989966555184,0.8283546786277558,-0.03539877589881556,0.03539877589881556
0.02,0.4176421404682274,0.5823578595317727,0.8255750425051174,-0.03540118934175483,0.03540118934175483
0.02,0.42098327759197324,0.5790167224080267,0.8227730799879196,-0.03540362255457816,0.03540362255457816
0.02,0.424324414715719,0.575675585284281,0.8199487910761625,-0.03540607554662587,0.03540607554662587
0.02,0.42766555183946486,0.5723344481605351,0.817102175769846,-0.0354085483273172,0.0354085483273172
0.02,0.4310066889632107,0.5689933110367893,0.8142332340689702,-0.03541104090614987,0.03541104090614987
0.02,0.4343478260869565,0.5656521739130436,0.811341965973535,-0.035413553292700566,0.035413553292700566
0.02,0.43768896321070233,0.5623110367892976,0.8084283714835405,-0.03541608549662518,0.03541608549662518
0.02,0.4410301003344481,0.5589698996655519,0.8054924505989867,-0.03541863752765834,0.03541863752765834
0.02,0.44437123745819396,0.555628762541806,0.8025342033198735,-0.03542120939561391,0.03542120939561391
0.02,0.4477123745819398,0.5522876254180602,0.7995536296462008,-0.03542380111038548,0.03542380111038548
0.02,0.4510535117056856,0.5489464882943145,0.796550729577969,-0.035426412681945456,0.035426412681945456
0.02,0.4543946488294314,0.5456053511705685,0.7935255031151777,-0.035429044120345976,0.035429044120345976
0.02,0.4577357859531772,0.5422642140468228,0.7904779502578272,-0.03543169543571899,0.03543169543571899
0.02,0.46107692307692305,0.538923076923077,0.7874080710059171,-0.035434366638275934,0.035434366638275934
0.02,0.4644180602006689,0.5355819397993311,0.7843158653594479,-0.0354370577383082,0.0354370577383082
0.02,0.4677591973244147,0.5322408026755854,0.7812013333184193,-0.035439768746187116,0.035439768746187116
0.02,0.4711003344481605,0.5288996655518394,0.7780644748828314,-0.03544249967236411,0.03544249967236411
0.02,0.47444147157190636,0.5255585284280937,0.7749052900526839,-0.03544525052737073,0.03544525052737073
0.02,0.47778260869565214,0.5222173913043479,0.7717237788279774,-0.035448021321818984,0.035448021321818984
0.02,0.481123745819398,0.518876254180602,0.7685199412087114,-0.03545081206640105,0.03545081206640105
0.02,0.48446488294314377,0.5155351170568563,0.765293777194886,-0.03545362277188998,0.03545362277188998
0.02,0.4878060200668896,0.5121939799331103,0.7620452867865013,-0.03545645344913918,0.03545645344913918
0.02,0.49114715719063545,0.5088528428093646,0.7587744699835572,-0.035459304109083004,0.035459304109083004
0.02,0.49448829431438124,0.5055117056856188,0.7554813267860538,-0.03546217476273664,0.03546217476273664
0.02,0.4978294314381271,0.5021705685618729,0.7521658571939911,-0.03546506542119629,0.03546506542119629
0.02,0.5011705685618729,0.4988294314381271,0.748828061207369,-0.03546797609563939,0.03546797609563939
0.02,0.5045117056856188,0.49548829431438124,0.7454679388261876,-0.03547090679732459,0.03547090679732459
0.02,0.5078528428093645,0.4921471571906355,0.742085490050447,-0.035473857537591934,0.035473857537591934
0.02,0.5111939799331103,0.48880602006688967,0.7386807148801469,-0.03547682832786295,0.03547682832786295
0.02,0.5145351170568562,0.4854648829431438,0.7352536133152874,-0.03547981917964087,0.03547981917964087
0.02,0.517876254180602,0.482123745819398,0.7318041853558686,-0.03548283010451076,0.03548283010451076
0.02,0.5212173913043479,0.47878260869565215,0.7283324310018904,-0.035485861114139414,0.035485861114139414
0.02,0.5245585284280936,0.4754414715719064,0.7248383502533529,-0.03548891222027578,0.03548891222027578
0.02,0.5278996655518394,0.4721003344481606,0.7213219431102561,-0.035491983434750934,0.035491983434750934
0.02,0.5312408026755853,0.46875919732441473,0.7177832095725999,-0.035495074769478246,0.035495074769478246
0.02,0.5345819397993311,0.4654180602006689,0.7142221496403843,-0.03549818623645374,0.03549818623645374
0.02,0.537923076923077,0.46207692307692305,0.7106387633136094,-0.03550131784775558,0.03550131784775558
0.02,0.5412642140468227,0.4587357859531773,0.7070330505922753,-0.03550446961554496,0.03550446961554496
0.02,0.5446053511705685,0.4553946488294315,0.7034050114763817,-0.035507641552065636,0.035507641552065636
0.02,0.5479464882943144,0.45205351170568564,0.6997546459659287,-0.0355108336696446,0.0355108336696446
0.02,0.5512876254180602,0.4487123745819398,0.6960819540609166,-0.03551404598069183,0.03551404598069183
0.02,0.554628762541806,0.44537123745819396,0.6923869357613449,-0.03551727849770058,0.03551727849770058
0.02,0.5579698996655518,0.44203010033444823,0.688669591067214,-0.03552053123324744,0.03552053123324744
0.02,0.5613110367892976,0.4386889632107024,0.6849299199785237,-0.035523804199992515,0.035523804199992515
0.02,0.5646521739130435,0.43534782608695655,0.6811679224952741,-0.03552709741067984,0.03552709741067984
0.02,0.5679933110367893,0.4320066889632107,0.6773835986174651,-0.03553041087813672,0.03553041087813672
0.02,0.5713344481605351,0.42866555183946486,0.6735769483450968,-0.035533744615274906,0.035533744615274906
0.02,0.5746755852842809,0.42532441471571913,0.6697479716781692,-0.03553709863509016,0.03553709863509016
0.02,0.5780167224080267,0.4219832775919733,0.6658966686166822,-0.03554047295066225,0.03554047295066225
0.02,0.5813578595317725,0.41864214046822745,0.6620230391606359,-0.03554386757515563,0.03554386757515563
