mu,gamma,chi_saturation,reserve_1_minus_chi,max_real_eigenvalue,stationary_var_x,stationary_sd_x
3.8500000000000005,0.0,0.9791636554813196,0.02083634451868044,-0.4999999999999999,0.02735215144520266,0.16538485857297414
3.9000000000000004,0.0,0.9801596942659225,0.019840305734077468,-0.5000000000000002,0.027713403652546414,0.16647343227237918
3.95,0.0,0.9811090380629609,0.018890961937039097,-0.5,0.02809319323049101,0.16761024202145586
4.0,0.0,0.9820137900379085,0.01798620996209155,-0.4999999999999999,0.02849246985080496,0.16879712631086158
4.050000000000001,0.0,0.9828759666842724,0.01712403331572765,-0.4999999999999998,0.028912231913012922,0.1700359724088198
4.1000000000000005,0.0,0.9836975006285591,0.016302499371440904,-0.5000000000000001,0.029353529040914574,0.1713287163347539
4.15,0.0,0.9844802434215911,0.015519756578408872,-0.4999999999999999,0.029817464707191245,0.1726773427731364
4.2,0.0,0.9852259683067269,0.01477403169327307,-0.4999999999999998,0.030305198992661844,0.1740838849309776
4.25,0.0,0.9859363729567544,0.014063627043245597,-0.4999999999999999,0.030817951487089438,0.17555042434323376
4.300000000000001,0.0,0.9866130821723351,0.01338691782766488,-0.4999999999999999,0.031357004338791114,0.17707909063125188
4.3500000000000005,0.0,0.9872576505358884,0.012742349464111569,-0.5,0.031923705460676244,0.17867206122020377
4.4,0.0,0.9878715650157257,0.012128434984274294,-0.5000000000000001,0.03251947190073063,0.18033156102227538
4.45,0.0,0.9884562475160777,0.011543752483922254,-0.4999999999999999,0.033145793385375696,0.18205986209314698
4.5,0.0,0.9890130573694068,0.010986942630593188,-0.49999999999999994,0.03380423604455899,0.18385928327000242
4.550000000000001,0.0,0.9895432937680818,0.01045670623191819,-0.4999999999999999,0.03449644632789603,0.18573218979998063
4.6000000000000005,0.0,0.9900481981330957,0.009951801866904253,-0.4999999999999997,0.03522415512165188,0.18768099296852594
4.65,0.0,0.9905289564180538,0.00947104358194617,-0.5000000000000002,0.035989182076856606,0.1897081497375814
4.7,0.0,0.990986701347152,0.009013298652847945,-0.4999999999999997,0.036793440159383566,0.19181616240396315
4.75,0.0,0.991422514586288,0.00857748541371195,-0.4999999999999999,0.03763894043335869,0.19400757828847484
4.800000000000001,0.0,0.9918374288468401,0.008162571153159881,-0.5000000000000001,0.038527797089867616,0.19628498946650916
4.8500000000000005,0.0,0.9922324299219849,0.007767570078015096,-0.5,0.03946223273353649,0.19865103255089436
4.9,0.0,0.9926084586557181,0.007391541344281882,-0.4999999999999999,0.04044458394020122,0.2011083885376272
4.95,0.0,0.9929664128450049,0.007033587154995136,-0.49999999999999994,0.04147730709956099,0.20365978272491844
5.0,0.0,0.9933071490757153,0.006692850924284732,-0.49999999999999994,0.04256298455743676,0.20630798471565942
5.050000000000001,0.0,0.9936314844931846,0.0063685155068153865,-0.5000000000000002,0.04370433107297679,0.2090558085128868
5.1000000000000005,0.0,0.9939401985084158,0.006059801491584249,-0.4999999999999997,0.04490420060696953,0.21190611271732943
5.15,0.0,0.994234034441075,0.005765965558924946,-0.49999999999999994,0.04616559345823699,0.2148618008354137
5.2,0.0,0.9945137011005495,0.005486298899450515,-0.5000000000000001,0.04749166376593524,0.21792582170531155
5.25,0.0,0.9947798743064417,0.005220125693558342,-0.5000000000000002,0.04888572739655466,0.22110117004790966
5.300000000000001,0.0,0.995033198349943,0.004966801650057029,-0.5000000000000002,0.050351270235304384,0.22439088714853012
5.3500000000000005,0.0,0.9952742873976046,0.004725712602395404,-0.4999999999999996,0.05189195690265159,0.22779806167448305
5.4,0.0,0.9955037268390589,0.004496273160941144,-0.4999999999999999,0.05351163991776975,0.23132583063239986
5.45,0.0,0.9957220745802952,0.004277925419704842,-0.4999999999999999,0.05521436933185402,0.23497738046853367
5.5,0.0,0.995929862284104,0.004070137715896038,-0.4999999999999999,0.057004402855349606,0.23875594831406735
5.550000000000001,0.0,0.9961275965593289,0.0038724034406710794,-0.49999999999999983,0.058886216504452256,0.24266482337671494
5.6000000000000005,0.0,0.9963157601005641,0.0036842398994358927,-0.49999999999999983,0.06086451579348143,0.24670734847888384
5.65,0.0,0.9964948127799336,0.0035051872200664302,-0.49999999999999967,0.06294424750110326,0.2508869217418542
5.7,0.0,0.9966651926925867,0.003334807307413312,-0.4999999999999999,0.06513061203987809,0.2552069984147733
5.75,0.0,0.9968273171575148,0.003172682842485175,-0.4999999999999998,0.06742907645997384,0.2596710928462655
5.800000000000001,0.0,0.9969815836752917,0.0030184163247083395,-0.4999999999999999,0.06984538811966048,0.26428278059620247
5.8500000000000005,0.0,0.9971283708442995,0.0028716291557004947,-0.4999999999999999,0.07238558905668219,0.2690457006842559
5.9,0.0,0.997268039236989,0.0027319607630109655,-0.4999999999999999,0.07505603109652405,0.2739635579717201
5.95,0.0,0.9974009322376768,0.002599067762323215,-0.4999999999999999,0.0778633917352475,0.27904012567236186
6.0,0.0,0.9975273768433653,0.002472623156634657,-0.5,0.08081469083673966,0.28427924798820553
