x,y,G_real,G_imag,block
8.05,-0.2,0.2628666607425072,0.7797396728658796,-1.0777901522221454
8.05,-0.19666666666666668,0.25277449274212893,0.7940427705735047,-1.1332179546380137
8.05,-0.19333333333333336,0.24543938035239687,0.8084952355146982,-1.1868481128443975
8.05,-0.19,0.2407475621826971,0.8229507696128735,-1.2385771610190184
8.05,-0.18666666666666668,0.23858521036824598,0.8372722598848696,-1.288203869132513
8.05,-0.18333333333333335,0.23883859785958972,0.8513314507803713,-1.335442726520554
8.05,-0.18000000000000002,0.24139425662323521,0.8650086270135731,-1.3799374753544449
8.05,-0.17666666666666667,0.2461391271644504,0.8781923065450528,-1.4212745147072847
8.05,-0.17333333333333334,0.2529606997716298,0.8907789433835802,-1.45899602069323
8.05,-0.17,0.26174714786256437,0.902672639885779,-1.4926126507683481
8.05,-0.16666666666666669,0.2723874538007789,0.913784868240981,-1.5216157208762313
8.05,-0.16333333333333333,0.2847715275351228,0.9240342008382925,-1.5454887628483494
8.05,-0.16,0.29879031840141423,0.9333460492201482,-1.5637183864488815
8.05,-0.15666666666666668,0.31433592041298186,0.9416524113362534,-1.5758043858270083
8.05,-0.15333333333333335,0.33130167135274724,0.9488916268183765,-1.5812690440098025
8.05,-0.15000000000000002,0.34958224596820053,0.9550081400066794,-1.579665601565692
8.05,-0.14666666666666667,0.36907374355873723,0.9599522704616952,-1.5705858667602062
8.05,-0.14333333333333334,0.38967377023164373,0.9636799907086413,-1.5536669545713262
8.05,-0.14,0.41128151609549013,0.9661527109623549,-1.5285971508362055
8.05,-0.13666666666666666,0.4337978276436081,0.9673370705924427,-1.4951209057481099
8.05,-0.13333333333333336,0.4571252755762041,0.9672047360912295,-1.4530429678933687
8.05,-0.13,0.4811682182941278,0.965732205316268,-1.4022316761773541
8.05,-0.12666666666666668,0.5058328612915518,0.9629006177828785,-1.3426214323285015
8.05,-0.12333333333333334,0.5310273126631582,0.9586955707899882,-1.2742143813161715
8.05,-0.12000000000000001,0.5566616349336933,0.9531069411665527,-1.1970813309856203
8.05,-0.11666666666666667,0.5826478934082648,0.9461287124330866,-1.1113619455944033
8.05,-0.11333333333333334,0.6089002012345011,0.9377588071759391,-1.0172642507452483
8.05,-0.11,0.6353347613576006,0.9279989244391977,-0.9150634895419771
8.05,-0.10666666666666667,0.661869905543425,0.9168543819423256,-0.8051003716455633
8.05,-0.10333333333333333,0.6884261306366267,0.9043339629373897,-0.6877787583574523
8.05,-0.1,0.7149261322121242,0.8904497675234904,-0.5635628279257007
8.058333333333334,-0.2,0.2897566447242692,0.8072806615372841,-1.1354863066604173
8.058333333333334,-0.19666666666666668,0.2805584885456929,0.8150345040475742,-1.1711363545860631
8.058333333333334,-0.19333333333333336,0.27374151866517504,0.8231926215312697,-1.2054233462048156
8.058333333333334,-0.19,0.26921477458365217,0.8316101308452275,-1.2381976297405797
8.058333333333334,-0.18666666666666668,0.26688642741510904,0.8401508712734724,-1.2692502427263492
8.058333333333334,-0.18333333333333335,0.2666639724731912,0.8486871011748605,-1.2983202429708098
8.058333333333334,-0.18000000000000002,0.26845441195347153,0.8570992040390735,-1.3251025485342582
8.058333333333334,-0.17666666666666667,0.2721644281504654,0.8652754036512604,-1.3492560964267637
8.058333333333334,-0.17333333333333334,0.2777005476272931,0.8731114880742226,-1.3704121529093696
