phase,scale,tx,ty,contact_cluster_count,dual_eq_residual,dual_norm_residual,duality_gap
2.199114857512855181e+00,1.435215331958692664e+00,2.004402779544823265e-01,3.493499693343573020e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
2.216568150032798723e+00,1.438403253436063789e+00,1.976213842520960218e-01,3.517340356543883217e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.234021442552741821e+00,1.441339319188579715e+00,1.948445569047606019e-01,3.540109603798349824e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,4.440892098500626162e-16
2.251474735072684918e+00,1.444022634862169641e+00,1.921106417609856898e-01,3.561800499373686257e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
2.268928027592628460e+00,1.446410984936821853e+00,1.893977468263355612e-01,3.582406436012978701e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
2.286381320112571558e+00,1.448586437323392095e+00,1.867521475310936208e-01,3.601921136948310065e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.303834612632515100e+00,1.450424135086858968e+00,1.841064755441780831e-01,3.620338657812733896e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.321287905152458197e+00,1.452089108903455550e+00,1.815524346589956761e-01,3.637653388450979852e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.338741197672401739e+00,1.453373861810911105e+00,1.789771795445878055e-01,3.653860054628364495e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.356194490192344837e+00,1.454526387161015677e+00,1.765178409519424230e-01,3.668953719637371158e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.373647782712288379e+00,1.455277249415715346e+00,1.740274589517713244e-01,3.682929785801424272e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.391101075232231477e+00,1.455895304322761152e+00,1.716545012062043740e-01,3.695783995875380756e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.408554367752174574e+00,1.456131978916669123e+00,1.692633442378251307e-01,3.707512434342328800e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,4.440892098500626162e-16
2.426007660272118116e+00,1.456194190899183782e+00,1.669683397327634544e-01,3.718111528606297678e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.443460952792061214e+00,1.455916330863157526e+00,1.646792888755336803e-01,3.727578050080497807e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
2.460914245312004756e+00,1.455422677718600344e+00,1.624650631394569111e-01,3.735909115170784056e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
