scenario,sigma,culprit,ff_class,gf_class,ff_correct,gf_correct,ff_culprit_correct,gf_culprit_correct,ff_rmse,gf_rmse
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.00478967825230179,0.08912233903151986
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.003473727495416344,0.08347387748919148
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004623838612738394,0.08184793180874968
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004681809322984433,0.07134223690733445
physical_anomaly,0.005,,physical_anomaly,sensor_anomaly,True,False,True,True,0.004282799626213333,0.09613836937088435
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004887918754646151,0.08576581027806848
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.003828133345007783,0.08676750807353413
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004823222504606025,0.07293867886309952
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004111514506925152,0.12244891144366381
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.003206472635359419,0.11245787152841585
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.003203424826233831,0.06855897753913984
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004116776475322917,0.09794454643022286
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004031245156624384,0.08598141487579239
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004517456207408154,0.08957024740491035
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.005017149115855893,0.0970707901282214
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.003949491912635718,0.10085595615571741
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.005247935920942024,0.07867289926855825
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.003650787758864524,0.09085422676099313
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004235938410139029,0.104990028284611
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.005324171086943506,0.10588679290296495
physical_anomaly,0.005,,physical_anomaly,global_model_error,True,False,True,True,0.003931709254905772,0.06873815375539899
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.003628716963176339,0.10668177384516135
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.00441749633484503,0.09735756829349515
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004713107408805138,0.06854751373141459
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.00473289254236771,0.09547663945949962
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.0030126778513068888,0.08016105041848536
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.003331665966222675,0.08036691975543317
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004807907214257968,0.09059669604603991
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004095361173736258,0.08890947295514808
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004037864701292792,0.08442045242933569
physical_anomaly,0.005,,physical_anomaly,sensor_anomaly,True,False,True,True,0.004050098299351301,0.09139538179052034
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004160817341276788,0.09015486158140315
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004401282020044361,0.11364206586381687
physical_anomaly,0.005,,physical_anomaly,sensor_anomaly,True,False,True,True,0.004663917961852149,0.0891847829593797
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.005801981408217274,0.10154597685680641
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.003661505978861268,0.09988944560305993
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004060446906797393,0.07461408609859105
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.005235150971659373,0.09554598319251566
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004218347666509445,0.0811482003548368
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.005146618720605461,0.09696895114697922
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004407048699398422,0.09338467001411951
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.003388680075143677,0.1261660277641128
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.003924302767476901,0.09637727396993298
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.003885903907803449,0.06791872893258208
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.003946074470017114,0.07573364687947602
