sigma,corrupt,suspect,suspect_correct,state_one,state_hist_ls,state_hist_rob,state_repaired,E_one,E_hist_ls,E_hist_rob,E_repaired,A_one,A_hist_ls,A_hist_rob,A_repaired,max_channel_residual,O5_residual
0.005,False,O2,True,1.639147191403432,0.0030866149593068355,0.0030812726903986635,0.0030812727118724468,0.2923337766789001,0.0005388295499217868,0.0005449674442607102,0.0005449674620285554,0.5879153736855901,0.0009548333069332129,0.000952556651325069,0.0009525566785083683,0.006771676987932552,0.00261498208715172
0.005,False,O6,True,0.004519701118196745,0.002451109117951981,0.00244897544003654,0.0024489756110773657,0.0016519020514464459,0.00525906033259273,0.0052351342169328465,0.005235134279966945,0.005053865621537476,0.005514757683016415,0.005503004090745719,0.00550300413659623,0.005487231315339055,0.0033729363539637142
0.005,False,O1,True,0.009023721346299097,0.0032344209018291092,0.0032302372217489824,0.003230236990510977,0.00710028984389107,0.0014782729729994502,0.0014596034485450612,0.0014596032370010157,0.006633716177947189,0.0043306755592707035,0.004315960171337879,0.0043159599310936885,0.005424552629332996,0.003925958109144278
0.005,False,O4,True,0.002153714671072374,0.001328512514470755,0.0013102048577246432,0.0013102048577246432,0.000406443330440304,0.00035984385425729353,0.000354573090698536,0.000354573090698536,0.001018622154975409,0.00040222948020876483,0.00039765950906194507,0.00039765950906194507,0.005375912793090327,0.004820741415059593
0.005,True,O5,True,0.03766938092419541,0.047088098929925444,0.008954487827056754,0.001005529188192228,0.00850553120020993,0.0071427420037388474,0.0010487586224392402,0.00023317573082787097,0.013640398873835167,0.013429283028851722,0.002386725914922546,0.00023470142213189078,0.31161699435701634,0.31161699435701634
0.005,True,O5,True,0.06837714131328138,0.016507245056296097,0.0019005365376273454,0.0006420985656439946,0.051311463628462194,0.0003564990378140326,0.000282874214704064,0.00024126377325804326,0.08221602736236024,0.005589596901880642,0.0012226735495299722,0.00025594382461533523,0.31627998887907627,0.31627998887907627
0.005,True,O5,True,0.15765937807902886,0.05927508340546738,0.011061715267731892,0.002524184154027063,0.15435180513969549,0.0448484560805518,0.007263927568329605,0.0002463294070831726,0.14368777241310857,0.062132656940110706,0.010145335905705913,0.0006140834294635063,0.31444446001806775,0.31444446001806775
0.005,True,O5,True,0.11037676619135497,0.06765077786245395,0.013316753507914681,0.001630481973682929,0.041048817434533584,0.02184154841704166,0.003239135857436249,0.0008995835866252494,0.10633594744589162,0.04635160090676077,0.00816844612758232,0.0008967723102260159,0.31400390231772063,0.31400390231772063
0.005,True,O5,True,0.14855386807806173,0.04989240336444401,0.011561028396676143,0.003914692710425408,0.11410671229986376,0.011222417978867293,0.003183756462857084,0.0011620263574501292,0.15435756230072642,0.014948551577708784,0.00579929796178185,0.0030576268845124883,0.3155458113201613,0.3155458113201613
0.005,True,O5,True,0.16080256684322783,0.0701408568518631,0.01593694151024059,0.005264672412262318,0.7305453079112376,0.12398398651742813,0.013077375318676322,0.0019883811454458624,0.7296541556549123,0.15077448410460367,0.017790288954816758,0.006338110821398629,0.31645726348722525,0.31645726348722525
