n_obs,sigma,n_history,n_bad,joint_rank_all,joint_rank_repaired,history_rank,state_err_all,state_err_repaired,state_err_history_only,state_err_hybrid,Eerr_all,Eerr_repaired,Eerr_history,Eerr_hybrid,Lerr_all,Lerr_repaired,Lerr_history,Lerr_hybrid,bad_detection_rate,all_bad_identified
5,0.0,4,1,4,4,4,0.12960333262053758,4.710277376051325e-16,6.080941944488118e-16,4.965068306494546e-16,0.1661315145719016,7.550538278077039e-16,7.550538278077039e-16,7.550538278077039e-16,0.1680738432849799,7.439716346512987e-16,8.679669070931818e-16,8.679669070931818e-16,1.0,True
5,0.0,4,1,4,4,4,0.05568439918884726,4.577566798522237e-16,5.324442579404919e-16,3.7238012298709097e-16,0.021259696862727596,3.867209310953102e-16,2.5781395406354013e-16,3.867209310953102e-16,0.006230875207377355,2.0300992630858471e-16,4.0601985261716943e-16,2.0300992630858471e-16,1.0,True
5,0.0,4,1,4,4,4,0.030566838373310375,2.5447867175859907e-16,4.480290709917824e-16,2.5018537765542007e-16,0.0062582055301434614,3.473231037627365e-16,6.94646207525473e-16,3.473231037627365e-16,0.43631386529960237,6.076098910731565e-16,4.0507326071543763e-16,6.076098910731565e-16,1.0,True
5,0.0,4,1,4,4,4,0.016882562166339606,5.194446892679256e-16,1.0706603116298291e-15,5.502328482176191e-16,0.00022625122907711658,1.515081113746168e-16,6.060324454984672e-16,4.545243341238504e-16,0.004785099389745908,0.0,5.902784850506458e-16,2.3611139402025837e-16,1.0,True
5,0.0,4,1,4,4,4,0.07289356279582425,3.2009291313835888e-16,3.925231146709438e-17,3.2009291313835888e-16,0.06380866337873488,1.2594670775916534e-16,0.0,1.2594670775916534e-16,0.035071238737556056,0.0,1.4069919301143159e-16,0.0,1.0,True
5,0.0,4,1,4,4,4,0.1793768472272306,6.798699777552591e-17,2.5589376332604516e-16,1.3092278833360675e-16,0.10505743645709077,0.0,4.971602658344793e-16,3.7287019937585946e-16,0.6732257806997503,0.0,0.0,0.0,1.0,True
5,0.0,4,1,4,4,4,0.11739330064687159,5.087681048627601e-16,2.482534153247273e-16,3.3306690738754696e-16,0.016426697180348736,0.0,0.0,0.0,0.010452000215996817,0.0,0.0,0.0,1.0,True
5,0.0,4,1,4,4,4,0.10456265428109804,5.551115123125783e-17,1.2412670766236366e-16,6.206335383118183e-17,0.001665200623789615,1.6781215298378164e-16,1.6781215298378164e-16,1.6781215298378164e-16,0.5822640975009651,1.443829903284044e-16,1.443829903284044e-16,1.443829903284044e-16,1.0,True
5,0.0,4,1,4,4,4,0.08555047814833706,5.874748045952207e-16,6.849500233248632e-16,2.3714374201337736e-16,0.04226910957420321,2.525533532549002e-16,0.0,0.0,0.022093129767006062,6.022352398996796e-16,2.007450799665599e-16,2.007450799665599e-16,1.0,True
5,0.0,4,1,4,4,4,0.12868901850305753,2.618455766672135e-16,2.220446049250313e-16,6.206335383118183e-17,0.1130978158254688,2.729260021261729e-16,2.729260021261729e-16,0.0,0.14658188809998166,0.0,2.0608258241128124e-16,0.0,1.0,True
5,0.0,4,1,4,4,4,0.04983640841214365,5.026748538604307e-16,7.364386412590295e-16,5.155369359468229e-16,0.008892785526137394,0.0,3.8194225498823516e-16,3.8194225498823516e-16,0.019751438727415294,3.428110540482127e-16,8.570276351205317e-16,5.142165810723191e-16,1.0,True
5,0.0,4,1,4,4,4,0.10514695398693125,4.965068306494546e-16,8.3820000221454525e-16,5.874748045952207e-16,0.06844928939014952,4.921450076106291e-16,8.202416793510486e-16,6.561933434808389e-16,0.15709994830162965,3.164368075173495e-16,6.32873615034699e-16,7.910920187933738e-16,1.0,True
5,0.0,4,1,4,4,4,0.13863932032676501,6.473657049138938e-16,6.004449063730082e-16,3.3766115072321297e-16,0.03808148866744276,4.028145998345919e-16,4.028145998345919e-16,0.0,0.04291252178489265,2.880248807761777e-16,5.760497615523554e-16,1.4401244038808885e-16,1.0,True
5,0.0,4,1,4,4,4,0.07396431069872177,5.585701844806365e-16,1.2021721300496787e-15,5.253434695803222e-16,0.018949567773848538,5.069840720483212e-16,8.449734534138686e-16,3.379893813655474e-16,0.02318151818137371,4.4261875799451374e-16,8.852375159890275e-16,2.2130937899725687e-16,1.0,True
5,0.0,4,1,4,4,4,0.06848680730940561,5.087681048627601e-16,4.002966042486721e-16,5.551115123125783e-17,0.002284552793673316,2.86756582108773e-16,4.3013487316315953e-16,0.0,0.07473139065275791,7.31784029098784e-16,1.463568058197568e-16,2.927136116395136e-16,1.0,True
5,0.0,4,1,4,4,4,0.028123644851535828,9.934014815290038e-16,3.8459253727671276e-16,6.473657049138938e-16,0.00402787706882292,4.013536631896971e-16,0.0,1.3378455439656568e-16,0.08385163886343279,3.5159337709268596e-16,3.5159337709268596e-16,1.7579668854634298e-16,1.0,True
5,0.0,4,1,4,4,4,0.03239758889539824,3.188872858294072e-16,7.870063977598499e-16,5.20740757162067e-16,0.001719908144233577,3.8942263959212474e-16,7.788452791842495e-16,3.8942263959212474e-16,0.005105695656731922,2.749218315359208e-16,6.87304578839802e-16,4.123827473038812e-16,1.0,True
5,0.0,4,1,4,4,4,0.04366379692825597,3.1401849173675503e-16,3.7238012298709097e-16,3.3766115072321297e-16,0.006948542537161799,0.0,1.7561045300494503e-16,1.7561045300494503e-16,0.1898726455645918,1.9880891231447184e-15,1.3916623862013028e-15,5.964267369434154e-16,1.0,True
5,0.0,4,1,4,4,4,0.08629331201439058,1.4043333874306805e-15,1.2863743655007717e-15,1.0026641665932502e-15,0.015973692009354036,4.1523457958306853e-16,0.0,0.0,0.10596930153540973,4.357373204524244e-16,2.178686602262122e-16,4.357373204524244e-16,1.0,True
5,0.0,4,1,4,4,4,0.1318387624338371,8.968100940422724e-16,4.965068306494546e-16,8.955206467987463e-16,0.07891612692139438,5.897320595557589e-16,5.897320595557589e-16,5.897320595557589e-16,0.12003175741207828,7.5156883916231e-16,1.878922097905775e-16,7.5156883916231e-16,1.0,True
