s,round8_attack_deficit,round9_seed_deficit
6.220000000000000528e-02,0.000000000000000000e+00,2.604369169592202563e-02
6.240000000000000407e-02,0.000000000000000000e+00,2.595254293505187826e-02
6.260000000000000286e-02,0.000000000000000000e+00,2.586116863740960808e-02
6.280000000000000859e-02,0.000000000000000000e+00,2.576957044787622775e-02
6.300000000000000044e-02,0.000000000000000000e+00,2.567777605818378356e-02
6.320000000000000617e-02,0.000000000000000000e+00,2.558655508130552869e-02
6.339999999999999802e-02,0.000000000000000000e+00,2.549538638115085576e-02
6.360000000000000375e-02,0.000000000000000000e+00,2.540377720989903804e-02
6.380000000000000948e-02,0.000000000000000000e+00,2.530982862829942587e-02
6.400000000000000133e-02,0.000000000000000000e+00,2.521356003432128484e-02
6.420000000000000706e-02,0.000000000000000000e+00,2.511501792225486265e-02
6.439999999999999891e-02,0.000000000000000000e+00,2.501424859721239347e-02
6.460000000000000464e-02,0.000000000000000000e+00,2.491129811227966312e-02
6.479999999999999649e-02,0.000000000000000000e+00,2.480621221010226654e-02
6.500000000000000222e-02,0.000000000000000000e+00,2.469903626884932882e-02
6.520000000000000795e-02,0.000000000000000000e+00,2.458981525247388306e-02
6.539999999999999980e-02,0.000000000000000000e+00,2.447859366516862492e-02
6.560000000000000553e-02,0.000000000000000000e+00,2.436541550989828123e-02
6.579999999999999738e-02,0.000000000000000000e+00,2.425032425087516111e-02
6.600000000000000311e-02,0.000000000000000000e+00,2.413336277983200995e-02
6.620000000000000884e-02,0.000000000000000000e+00,2.401457338593713728e-02
6.640000000000000069e-02,0.000000000000000000e+00,2.389399772918884141e-02
6.660000000000000642e-02,0.000000000000000000e+00,2.377167681712124420e-02
6.679999999999999827e-02,0.000000000000000000e+00,2.364765098465012108e-02
6.700000000000000400e-02,0.000000000000000000e+00,2.352195987688535106e-02
6.720000000000000973e-02,0.000000000000000000e+00,2.339464243473683355e-02
6.740000000000000158e-02,0.000000000000000000e+00,2.326573688314137467e-02
6.760000000000000731e-02,0.000000000000000000e+00,2.313528072174064407e-02
6.779999999999999916e-02,0.000000000000000000e+00,2.300331071784345385e-02
6.800000000000000488e-02,0.000000000000000000e+00,2.286986290150961124e-02
6.819999999999999674e-02,0.000000000000000000e+00,2.273497256259759958e-02
6.840000000000000246e-02,0.000000000000000000e+00,2.259867424962346341e-02
6.860000000000000819e-02,0.000000000000000000e+00,2.246100177028438269e-02
6.880000000000000004e-02,0.000000000000000000e+00,2.232198819350622587e-02
6.900000000000000577e-02,0.000000000000000000e+00,2.218166585288099471e-02
6.919999999999999762e-02,0.000000000000000000e+00,2.204006635136673137e-02
6.940000000000000335e-02,0.000000000000000000e+00,2.189722056712858217e-02
6.960000000000000908e-02,0.000000000000000000e+00,2.175315866040712989e-02
6.980000000000000093e-02,0.000000000000000000e+00,2.160791008130596297e-02
7.000000000000000666e-02,0.000000000000000000e+00,2.146150357839743048e-02
7.019999999999999851e-02,0.000000000000000000e+00,2.131396720805197806e-02
7.040000000000000424e-02,0.000000000000000000e+00,2.116543942625283628e-02
7.060000000000000997e-02,0.000000000000000000e+00,2.101664973788607352e-02
7.080000000000000182e-02,0.000000000000000000e+00,2.086772674800666666e-02
7.100000000000000755e-02,0.000000000000000000e+00,2.071867124906934601e-02
7.119999999999999940e-02,0.000000000000000000e+00,2.056948402200390810e-02
7.140000000000000513e-02,0.000000000000000000e+00,2.042016583637501145e-02
