t,psi
-2.080000000000000071e+00,3.729250981354291783e-01
-2.077500000000000124e+00,3.781669302856444648e-01
-2.075000000000000178e+00,3.824972793805985760e-01
-2.072499999999999787e+00,3.859021627998415749e-01
-2.069999999999999840e+00,3.883733487132970952e-01
-2.067499999999999893e+00,3.899065819748895323e-01
-2.064999999999999947e+00,3.905004610814668542e-01
-2.062500000000000000e+00,3.901558630491178126e-01
-2.060000000000000053e+00,3.888758628622234204e-01
-2.057500000000000107e+00,3.866661396700992737e-01
-2.054999999999999716e+00,3.835359067477990824e-01
-2.052500000000000213e+00,3.794994499959685186e-01
-2.049999999999999822e+00,3.745784138079817360e-01
-2.047499999999999876e+00,3.688050361002461197e-01
-2.044999999999999929e+00,3.622266065631085108e-01
-2.042499999999999982e+00,3.549114982596889845e-01
-2.040000000000000036e+00,3.469571828875475106e-01
-2.037500000000000089e+00,3.385006319431155819e-01
-2.035000000000000142e+00,3.297313047855910395e-01
-2.032499999999999751e+00,3.209062498041162503e-01
-2.030000000000000249e+00,3.123650982474905913e-01
-2.027499999999999858e+00,3.045387202142799676e-01
-2.024999999999999911e+00,2.979369802155718561e-01
-2.022499999999999964e+00,2.930861589225465802e-01
-2.020000000000000018e+00,2.903691793434425295e-01
-2.017500000000000071e+00,2.897395096921406843e-01
-2.015000000000000124e+00,2.904656964927580520e-01
-2.012500000000000178e+00,2.914766488600453176e-01
-2.009999999999999787e+00,2.922710176960384709e-01
-2.007499999999999840e+00,2.928086917670232325e-01
-2.004999999999999893e+00,2.930909918642992662e-01
-2.002499999999999947e+00,2.931186537234896639e-01
-2.000000000000000000e+00,2.928917494121805465e-01
-1.997500000000000053e+00,2.924096876421367619e-01
-1.994999999999999885e+00,2.916712104067764599e-01
-1.992499999999999938e+00,2.906720358276153049e-01
-1.989999999999999991e+00,2.893616918774771229e-01
-1.987500000000000044e+00,2.875985242849275481e-01
-1.984999999999999876e+00,2.852596982950579840e-01
-1.982499999999999929e+00,2.823149425673254220e-01
-1.979999999999999982e+00,2.788013054893196396e-01
-1.977500000000000036e+00,2.747815869196941763e-01
-1.975000000000000089e+00,2.703188209361588323e-01
-1.972499999999999920e+00,2.654654516301017120e-01
-1.969999999999999973e+00,2.602605779886387749e-01
-1.967500000000000027e+00,2.547307121004231956e-01
-1.965000000000000080e+00,2.488917106808769819e-01
-1.962499999999999911e+00,2.427508490858862056e-01
-1.959999999999999964e+00,2.363086537700467560e-01
-1.957500000000000018e+00,2.295603976104323984e-01
-1.955000000000000071e+00,2.224972785566053934e-01
-1.952499999999999902e+00,2.151073411319759099e-01
-1.949999999999999956e+00,2.073762077979311447e-01
-1.947500000000000009e+00,1.992876837051968664e-01
-1.945000000000000062e+00,1.908242928948164219e-01
-1.942499999999999893e+00,1.819678003808861688e-01
-1.939999999999999947e+00,1.726997743881351077e-01
-1.937500000000000000e+00,1.630022472082638951e-01
-1.935000000000000053e+00,1.528585424577916241e-01
-1.932499999999999885e+00,1.422543519627264275e-01
-1.929999999999999938e+00,1.311791684274578318e-01
-1.927499999999999991e+00,1.196282122308022500e-01
-1.925000000000000044e+00,1.076050341317628806e-01
-1.922499999999999876e+00,9.512503201899623340e-02
-1.919999999999999929e+00,8.222018888483201282e-02
-1.917499999999999982e+00,6.894541518804914171e-02
-1.915000000000000036e+00,5.538694202403617040e-02
-1.912499999999999867e+00,4.167320997001602162e-02
-1.909999999999999920e+00,2.798850772223429595e-02
-1.907499999999999973e+00,1.458895462158432688e-02
-1.905000000000000027e+00,1.818691719335949197e-03
-1.902500000000000080e+00,-9.879857143417256071e-03
-1.899999999999999911e+00,-1.997618870069012981e-02
-1.897499999999999964e+00,-2.791218215393218710e-02
-1.895000000000000018e+00,-3.326171548450778531e-02
-1.892500000000000071e+00,-3.602636479331022129e-02
-1.889999999999999902e+00,-3.692931233241557309e-02
-1.887499999999999956e+00,-3.712846522897229884e-02
-1.885000000000000009e+00,-3.723275289138495980e-02
-1.882500000000000062e+00,-3.730409832189399144e-02
-1.879999999999999893e+00,-3.734289264577571321e-02
-1.877499999999999947e+00,-3.734923697531553066e-02
-1.875000000000000000e+00,-3.732314783955446164e-02
-1.872500000000000053e+00,-3.726455725589387924e-02
-1.869999999999999885e+00,-3.717331502700315510e-02
-1.867499999999999938e+00,-3.706794741012488931e-02
-1.864999999999999991e+00,-3.743296882948309728e-02
