real_w,imag_w,G_real,G_imag,orbit_block
8.025,-0.11333333333333334,-0.01720387692442383,-0.0236680078079623,-0.0005284024247340833
8.025,-0.11,-0.01771626323972986,-0.023041341541664664,-0.00043407487372047634
8.025,-0.10666666666666667,-0.018212811924049794,-0.022408406970027647,-0.0003408603695071467
8.025,-0.10333333333333333,-0.018693572583636457,-0.021769401448543394,-0.0002489143669763172
8.025,-0.1,-0.01915859325421667,-0.021124521644844206,-0.00015838743848594968
8.033333333333333,-0.2,0.002786919971419652,-0.03474333203384716,-0.0023986643957741053
8.033333333333333,-0.19666666666666668,0.0018699389053273216,-0.034395352815348876,-0.0023590872475653425
8.033333333333333,-0.19333333333333336,0.00097008824566195,-0.03403542936355798,-0.0023149387615147466
8.033333333333333,-0.19,8.727892309934662e-05,-0.03366378919748475,-0.002266486171044547
8.033333333333333,-0.18666666666666668,-0.0007785764657599371,-0.033280658524287715,-0.0022139921009944183
8.033333333333333,-0.18333333333333335,-0.001627563665939108,-0.032886262264152574,-0.0021577145644398805
8.033333333333333,-0.18000000000000002,-0.0024597667714919107,-0.03248082407504642,-0.0020979069600479587
8.033333333333333,-0.17666666666666667,-0.0032752682327666927,-0.032064566377356274,-0.0020348180699426314
8.033333333333333,-0.17333333333333334,-0.004074148863527242,-0.031637710378414244,-0.00196869205805248
8.033333333333333,-0.17,-0.004856487847935645,-0.03120047609690463,-0.0018997684689127413
8.033333333333333,-0.16666666666666669,-0.005622362747391189,-0.03075308238716508,-0.0018282822268970217
8.033333333333333,-0.16333333333333333,-0.006371849507232186,-0.0302957469633764,-0.0017544636358522308
8.033333333333333,-0.16,-0.007105022463295217,-0.029828686423646247,-0.0016785383791125764
8.033333333333333,-0.15666666666666668,-0.00782195434833987,-0.029352116273989245,-0.0016007275198685427
8.033333333333333,-0.15333333333333335,-0.008522716298330412,-0.028866250952205234,-0.0015212475018677254
8.033333333333333,-0.15000000000000002,-0.009207377858583485,-0.02837130385165744,-0.0014403101504246777
8.033333333333333,-0.14666666666666667,-0.009876006989775536,-0.027867487344953392,-0.0013581226737180844
8.033333333333333,-0.14333333333333334,-0.010528670073816939,-0.027355012807530072,-0.0012748876643536918
8.033333333333333,-0.14,-0.011165431919586133,-0.026834090641147397,-0.0011908031011728028
8.033333333333333,-0.13666666666666666,-0.011786355768531011,-0.026304930297288576,-0.0011060623512856524
8.033333333333333,-0.13333333333333336,-0.012391503300132719,-0.02576774030047425,-0.0010208541723109696
8.033333333333333,-0.13,-0.012980934637236635,-0.025222728271488144,-0.000935362714802235
8.033333333333333,-0.12666666666666668,-0.013554708351247401,-0.024670100950519788,-0.0008497675248429226
8.033333333333333,-0.12333333333333334,-0.014112881467191092,-0.02411006422022338,-0.0007642435467926198
8.033333333333333,-0.12000000000000001,-0.014655509468643017,-0.023542823128698855,-0.0006789611261674253
8.033333333333333,-0.11666666666666667,-0.015182646302522893,-0.022968581912392483,-0.0005940860126375421
8.033333333333333,-0.11333333333333334,-0.015694344383757462,-0.022387544018923962,-0.0005097793631265573
8.033333333333333,-0.11,-0.016190654599810436,-0.02179991212983772,-0.00042619774499656597
8.033333333333333,-0.10666666666666667,-0.01667162631508081,-0.021205888183285934,-0.0003434931393046621
8.033333333333333,-0.10333333333333333,-0.01713730737516882,-0.020605673396637384,-0.000261812944115748
8.033333333333333,-0.1,-0.01758774411101313,-0.01999946828902325,-0.00018129997785833893
8.041666666666666,-0.2,0.0035885320925365775,-0.03246766791090998,-0.002082543793987937
8.041666666666666,-0.19666666666666668,0.0027019771602471605,-0.032161907942695314,-0.0020541752838798212
