mu,gamma,chi_saturation,rho_cancellation,reserve_1_minus_chi,restoring_authority_kappa,max_real_eigenvalue,stability_margin
4.5,0.0,0.9890130573694068,1.0,0.010986942630593188,2.1732459444450485,-0.49999999999999994,0.49999999999999994
4.550000000000001,0.0,0.9895432937680817,1.0,0.0104567062319183,2.0694727053395106,-0.4999999999999999,0.4999999999999999
4.6,0.0,0.9900481981330959,1.0,0.009951801866904142,1.970552701301227,-0.4999999999999997,0.4999999999999997
4.65,0.0,0.9905289564180538,1.0,0.00947104358194617,1.8762685830830093,-0.5000000000000002,0.5000000000000002
4.700000000000001,0.0,0.990986701347152,1.0,0.009013298652847945,1.7864118200485029,-0.4999999999999997,0.4999999999999997
4.75,0.0,0.991422514586288,1.0,0.00857748541371195,1.7007824315379017,-0.4999999999999999,0.4999999999999999
4.800000000000001,0.0,0.9918374288468401,1.0,0.008162571153159881,1.6191887170658965,-0.5000000000000001,0.5000000000000001
4.85,0.0,0.9922324299219849,1.0,0.007767570078015096,1.541446986619644,-0.5,0.5
4.9,0.0,0.9926084586557181,1.0,0.007391541344281882,1.4673812921675307,-0.4999999999999999,0.4999999999999999
4.950000000000001,0.0,0.9929664128450049,1.0,0.007033587154995136,1.3968231613456445,-0.49999999999999994,0.49999999999999994
5.0,0.0,0.9933071490757154,1.0,0.006692850924284621,1.3296113341580067,-0.49999999999999994,0.49999999999999994
5.050000000000001,0.0,0.9936314844931846,1.0,0.0063685155068153865,1.2655915034109677,-0.5000000000000002,0.5000000000000002
5.1,0.0,0.9939401985084158,1.0,0.006059801491584249,1.2046160594933684,-0.4999999999999997,0.4999999999999997
5.15,0.0,0.994234034441075,1.0,0.005765965558924946,1.1465438400196475,-0.49999999999999994,0.49999999999999994
5.200000000000001,0.0,0.9945137011005495,1.0,0.005486298899450515,1.0912398847672806,-0.5000000000000001,0.5000000000000001
5.25,0.0,0.9947798743064417,1.0,0.005220125693558342,1.0385751962603587,-0.5000000000000002,0.5000000000000002
5.300000000000001,0.0,0.995033198349943,1.0,0.004966801650057029,0.988426506285204,-0.5000000000000002,0.5000000000000002
5.35,0.0,0.9952742873976047,1.0,0.004725712602395293,0.9406760485589932,-0.4999999999999996,0.4999999999999996
5.4,0.0,0.995503726839059,1.0,0.004496273160941033,0.895211337720669,-0.4999999999999999,0.4999999999999999
5.450000000000001,0.0,0.995722074580295,1.0,0.004277925419704953,0.851924954761657,-0.4999999999999999,0.4999999999999999
5.5,0.0,0.995929862284104,1.0,0.004070137715896038,0.8107143389739357,-0.4999999999999999,0.4999999999999999
5.550000000000001,0.0,0.9961275965593289,1.0,0.0038724034406710794,0.7714815864527517,-0.49999999999999983,0.49999999999999983
5.600000000000001,0.0,0.9963157601005641,1.0,0.0036842398994358927,0.7341332551598594,-0.49999999999999983,0.49999999999999983
5.65,0.0,0.9964948127799336,1.0,0.0035051872200664302,0.6985801765237427,-0.49999999999999967,0.49999999999999967
5.700000000000001,0.0,0.9966651926925867,1.0,0.003334807307413312,0.6647372735271471,-0.4999999999999999,0.4999999999999999
5.75,0.0,0.9968273171575148,1.0,0.003172682842485175,0.632523385213235,-0.4999999999999998,0.4999999999999998
5.800000000000001,0.0,0.9969815836752915,1.0,0.0030184163247084506,0.6018610975198148,-0.4999999999999999,0.4999999999999999
