s,x,y,kappa
2.910714285714285574e-02,2.803105378543201132e-02,6.588167413230792274e-03,2.223124493016339187e+01
2.928571428571428645e-02,2.818690695905194318e-02,6.675331052152309007e-03,2.228449147063821201e+01
2.946428571428571369e-02,2.834241125303268646e-02,6.763115595507429925e-03,2.233740130292299142e+01
2.964285714285714440e-02,2.849756469947939755e-02,6.851518758104494997e-03,2.238996866461686608e+01
2.982142857142857165e-02,2.865236316795868876e-02,6.940542041912343453e-03,2.244218569581909151e+01
2.999999999999999889e-02,2.880680378826962554e-02,7.030184696506001397e-03,2.249404577870510380e+01
3.017857142857142960e-02,2.896088299624297382e-02,7.120447136675894795e-03,2.254554161316906402e+01
3.035714285714285685e-02,2.911459768118213401e-02,7.211328961198632329e-03,2.259666636609975399e+01
3.053571428571428409e-02,2.926794417760732528e-02,7.302830666357568688e-03,2.264741264698610124e+01
3.071428571428571480e-02,2.942091981437664622e-02,7.394951047865307506e-03,2.269777410831216358e+01
3.089285714285714204e-02,2.957352013935046070e-02,7.487691818784292415e-03,2.274774256009559537e+01
3.107142857142857276e-02,2.972574338935480773e-02,7.581050224814287614e-03,2.279731265477685653e+01
3.125000000000000000e-02,2.987758431026975303e-02,7.675029182408730360e-03,2.284647537018463481e+01
3.142857142857143071e-02,3.002904111934150480e-02,7.769625926014814797e-03,2.289522539775163068e+01
3.160714285714285449e-02,3.018011013460130537e-02,7.864840746090093898e-03,2.294355543456578062e+01
3.178571428571428520e-02,3.033078705012150905e-02,7.960674853013617255e-03,2.299145750473650907e+01
3.196428571428571591e-02,3.048106984406150424e-02,8.057125826080271946e-03,2.303892616003308902e+01
3.214285714285713969e-02,3.063095467177768400e-02,8.154194087104434802e-03,2.308595399153546879e+01
3.232142857142857040e-02,3.078043734255766356e-02,8.251880522161617396e-03,2.313253321749552782e+01
3.250000000000000111e-02,3.092951567010841091e-02,8.350182912465963295e-03,2.317865833192928449e+01
3.267857142857143182e-02,3.107818622884394102e-02,8.449100924348999439e-03,2.322432248995423265e+01
3.285714285714285560e-02,3.122644470358431484e-02,8.548635506060929881e-03,2.326951786429808422e+01
3.303571428571428631e-02,3.137428819948551162e-02,8.648785434620182705e-03,2.331423827694878526e+01
3.321428571428571702e-02,3.152171374681332627e-02,8.749549589537296279e-03,2.335847751900855584e+01
3.339285714285714080e-02,3.166871793649320838e-02,8.850927473171942353e-03,2.340222892481956407e+01
3.357142857142857151e-02,3.181529736456551599e-02,8.952918546499256253e-03,2.344548587992292354e+01
3.375000000000000222e-02,3.196144773262943328e-02,9.055523505335704923e-03,2.348824076538812378e+01
3.392857142857142599e-02,3.210716660194441741e-02,9.158740353924790800e-03,2.353048818934188091e+01
3.410714285714285671e-02,3.225245061409276470e-02,9.262568394178348485e-03,2.357222174226848921e+01
3.428571428571428742e-02,3.239729639142516909e-02,9.367006924648858118e-03,2.361343504657484615e+01
3.446428571428571119e-02,3.254170056387740290e-02,9.472055202981699215e-03,2.365412179025623729e+01
3.464285714285714191e-02,3.268565976946491425e-02,9.577712446033290541e-03,2.369427572974064944e+01
3.482142857142857262e-02,3.282917065477526652e-02,9.683977829997284306e-03,2.373389069270820073e+01
3.500000000000000333e-02,3.297222987545789935e-02,9.790850490538682838e-03,2.377296058088355579e+01
3.517857142857142710e-02,3.311483409671146794e-02,9.898329522935872538e-03,2.381147937279889604e+01
3.535714285714285782e-02,3.325697999376839298e-02,1.000641398223052654e-02,2.384944112652564030e+01
3.553571428571428853e-02,3.339866425237645459e-02,1.011510288338528935e-02,2.388683998237243600e+01
3.571428571428571230e-02,3.353988356927738862e-02,1.022439520144921912e-02,2.392367016554755210e+01
3.589285714285714302e-02,3.368063465268231887e-02,1.033428987173094088e-02,2.395992598878358137e+01
3.607142857142857373e-02,3.382091422274387943e-02,1.044478578997941505e-02,2.399560185492225628e+01
3.624999999999999750e-02,3.396071901202472182e-02,1.055588181257221918e-02,2.403069225945762355e+01
3.642857142857142821e-02,3.410004576596262216e-02,1.066757675671139299e-02,2.406519179303541378e+01
3.660714285714285893e-02,3.423889124333181350e-02,1.077986940062672198e-02,2.409909514390683682e+01
3.678571428571428270e-02,3.437725221670036302e-02,1.089275848378626690e-02,2.413239710033483476e+01
3.696428571428571341e-02,3.451512547288354549e-02,1.100624270711422596e-02,2.416509255295096281e+01
3.714285714285714413e-02,3.465250781339321295e-02,1.112032073321597703e-02,2.419717649706128171e+01
