phi,z
2.731440279371125879e+00,2.808043349452325477e-01
2.740166925631097428e+00,2.813153974927232182e-01
2.748893571891068976e+00,2.817945194923008323e-01
2.757620218151040525e+00,2.822416690779054882e-01
2.766346864411012518e+00,2.826568165946505840e-01
2.775073510670984067e+00,2.830399357575395514e-01
2.783800156930955616e+00,2.833910023795960242e-01
2.792526803190927165e+00,2.837099948066759691e-01
2.801253449450898714e+00,2.839968998900391783e-01
2.809980095710870707e+00,2.842517305115394022e-01
2.818706741970842256e+00,2.844744394174134605e-01
2.827433388230813804e+00,2.846650155370418211e-01
2.836160034490785353e+00,2.848234498895230726e-01
2.844886680750757346e+00,2.849497360119385148e-01
2.853613327010728895e+00,2.850438699566438805e-01
2.862339973270700444e+00,2.851058499077117059e-01
2.871066619530671993e+00,2.851357351403701612e-01
2.879793265790643542e+00,2.851334790629869165e-01
2.888519912050615535e+00,2.850990831039904028e-01
2.897246558310587083e+00,2.850325558740191001e-01
2.905973204570558632e+00,2.849339084316305781e-01
2.914699850830530181e+00,2.848032205992188093e-01
2.923426497090502174e+00,2.846404580199811130e-01
2.932153143350473723e+00,2.844456266488186724e-01
2.940879789610445272e+00,2.842187475507296224e-01
2.949606435870416821e+00,2.839599164735527315e-01
2.958333082130388370e+00,2.836691114516247114e-01
2.967059728390360362e+00,2.833463398932415389e-01
2.975786374650331911e+00,2.829916665233023210e-01
2.984513020910303460e+00,2.826051645848843274e-01
2.993239667170275009e+00,2.821867995570286891e-01
3.001966313430247002e+00,2.817366449172369336e-01
3.010692959690218551e+00,2.812547899707965593e-01
3.019419605950190100e+00,2.807411973926328130e-01
3.028146252210161649e+00,2.801959887864567955e-01
3.036872898470133197e+00,2.796191904720884969e-01
3.045599544730105190e+00,2.790108201139872568e-01
3.054326190990076739e+00,2.783710325003173613e-01
3.063052837250048288e+00,2.776997657886856041e-01
3.071779483510019837e+00,2.769972049467586683e-01
3.080506129769991830e+00,2.762633053437570374e-01
3.089232776029963379e+00,2.754982286530565649e-01
3.097959422289934928e+00,2.747019606734616981e-01
3.106686068549906476e+00,2.738746620485045802e-01
3.115412714809878025e+00,2.730163082854004108e-01
3.124139361069850018e+00,2.721271003747607886e-01
3.132866007329821567e+00,2.712069976388489234e-01
3.141592653589793116e+00,2.702561772285964614e-01
3.150319299849764665e+00,2.692746754592878489e-01
3.159045946109736658e+00,2.682625629140881207e-01
3.167772592369708207e+00,2.672200207019811979e-01
3.176499238629679756e+00,2.661470501352133922e-01
3.185225884889651304e+00,2.650437584390080703e-01
3.193952531149622853e+00,2.639103259620684261e-01
3.202679177409594846e+00,2.627467741155157799e-01
3.211405823669566395e+00,2.615532128535468792e-01
3.220132469929537944e+00,2.603297637496337913e-01
3.228859116189509493e+00,2.590765773704203356e-01
3.237585762449481486e+00,2.577937162233225332e-01
3.246312408709453035e+00,2.564812985119057087e-01
3.255039054969424583e+00,2.551394445791536070e-01
3.263765701229396132e+00,2.537682768958071100e-01
3.272492347489367681e+00,2.523763376365245059e-01
3.281218993749339674e+00,2.509876106557515363e-01
3.289945640009311223e+00,2.496019726613087075e-01
3.298672286269282772e+00,2.482107448832799046e-01
3.307398932529254321e+00,2.468230467168759934e-01
3.316125578789226314e+00,2.454385255262936383e-01
3.324852225049197862e+00,2.440489607668130945e-01
3.333578871309169411e+00,2.426632425529659798e-01
3.342305517569140960e+00,2.412807889420700846e-01
3.351032163829112953e+00,2.398938375422973168e-01
3.359758810089084502e+00,2.385110491150183032e-01
3.368485456349056051e+00,2.371316123383528929e-01
3.377212102609027600e+00,2.357482229011683417e-01
3.385938748868999149e+00,2.343693121393337908e-01
3.394665395128971142e+00,2.329938392795902757e-01
3.403392041388942690e+00,2.316149580194638569e-01
3.412118687648914239e+00,2.302414731994542607e-01
3.420845333908885788e+00,2.288703055161081246e-01
3.429571980168857781e+00,2.274997204327139366e-01
3.438298626428829330e+00,2.261350047239924499e-01
3.447025272688800879e+00,2.247679656674378967e-01
3.455751918948772428e+00,2.234063458904680666e-01
3.464478565208743976e+00,2.220484158349023129e-01
3.473205211468715969e+00,2.206887027943770507e-01
3.481931857728687518e+00,2.193347196837839574e-01
3.490658503988659067e+00,2.179845072073706425e-01
3.499385150248630616e+00,2.166330503818761632e-01
3.508111796508602609e+00,2.152879179067169191e-01
3.516838442768574158e+00,2.139460639739646231e-01
3.525565089028545707e+00,2.126097114977769098e-01
3.534291735288517255e+00,2.112777077486187316e-01
3.543018381548488804e+00,2.099455308940925968e-01
3.551745027808460797e+00,2.086200042877054406e-01
3.560471674068432346e+00,2.072984789987690479e-01
3.569198320328403895e+00,2.059773127922211178e-01
3.577924966588375444e+00,2.046653764697282107e-01
3.586651612848347437e+00,2.033561249032355966e-01
3.595378259108318986e+00,2.020541253376916813e-01
3.604104905368290535e+00,2.007562687389849443e-01
3.612831551628262083e+00,1.994598276917126378e-01
3.621558197888233632e+00,1.981709353628412218e-01
3.630284844148205625e+00,1.968863703355798744e-01
3.639011490408177174e+00,1.956114693512172320e-01
3.647738136668148723e+00,1.943408413489119690e-01
3.656464782928120272e+00,1.930726734619564733e-01
3.665191429188092265e+00,1.918126383937600321e-01
3.673918075448063814e+00,1.905573983090401435e-01
3.682644721708035362e+00,1.893130935930951719e-01
3.691371367968006911e+00,1.880731786276899631e-01
3.700098014227978460e+00,1.868367548295521430e-01
3.708824660487950453e+00,1.856092052953680904e-01
3.717551306747922002e+00,1.843899284469743827e-01
3.726277953007893551e+00,1.831796342466646688e-01
3.735004599267865100e+00,1.819738317423763296e-01
3.743731245527837093e+00,1.807740603969464899e-01
3.752457891787808641e+00,1.795865597850339057e-01
3.761184538047780190e+00,1.784040681604410761e-01
3.769911184307751739e+00,1.772311059247505538e-01
3.778637830567723288e+00,1.760633943627629705e-01
3.787364476827695281e+00,1.749103121564970775e-01
3.796091123087666830e+00,1.737618434242945986e-01
3.804817769347638379e+00,1.726203959276458588e-01
3.813544415607609928e+00,1.714926302237443079e-01
3.822271061867581921e+00,1.703713522834116867e-01
