phi,z
3.028146252210161649e+00,2.551394445791557164e-01
3.036872898470133197e+00,2.564812985119094280e-01
3.045599544730105190e+00,2.577937162233248092e-01
3.054326190990076739e+00,2.590765773704206687e-01
3.063052837250048288e+00,2.603297637496343464e-01
3.071779483510019837e+00,2.615532128535472678e-01
3.080506129769991830e+00,2.627467741155167791e-01
3.089232776029963379e+00,2.639103259620688147e-01
3.097959422289934928e+00,2.650437584390101242e-01
3.106686068549906476e+00,2.661470501352137807e-01
3.115412714809878025e+00,2.672200207019830298e-01
3.124139361069850018e+00,2.682625629140899526e-01
3.132866007329821567e+00,2.692746754592903469e-01
3.141592653589793116e+00,2.702561772286004582e-01
3.150319299849764665e+00,2.712069976388506998e-01
3.159045946109736658e+00,2.721271003747612882e-01
3.167772592369708207e+00,2.730163082854031864e-01
3.176499238629679756e+00,2.738746620485073002e-01
3.185225884889651304e+00,2.747019606734629193e-01
3.193952531149622853e+00,2.754982286530591740e-01
3.202679177409594846e+00,2.762633053437593134e-01
3.211405823669566395e+00,2.769972049467598341e-01
3.220132469929537944e+00,2.776997657886862703e-01
3.228859116189509493e+00,2.783710325003201369e-01
3.237585762449481486e+00,2.790108201139884780e-01
3.246312408709453035e+00,2.796191904720893295e-01
3.255039054969424583e+00,2.801959887864574061e-01
3.263765701229396132e+00,2.807411973926338677e-01
3.272492347489367681e+00,2.812547899707958932e-01
3.281218993749339674e+00,2.817366449172363785e-01
3.289945640009311223e+00,2.821867995570260246e-01
3.298672286269282772e+00,2.826051645848837723e-01
3.307398932529254321e+00,2.829916665233006001e-01
3.316125578789226314e+00,2.833463398932416499e-01
3.324852225049197862e+00,2.836691114516243784e-01
3.333578871309169411e+00,2.839599164735531200e-01
3.342305517569140960e+00,2.842187475507301775e-01
3.351032163829112953e+00,2.844456266488181173e-01
3.359758810089084502e+00,2.846404580199803913e-01
3.368485456349056051e+00,2.848032205992189203e-01
3.377212102609027600e+00,2.849339084316295789e-01
3.385938748868999149e+00,2.850325558740207099e-01
3.394665395128971142e+00,2.850990831039904028e-01
3.403392041388942690e+00,2.851334790629870275e-01
3.412118687648914239e+00,2.851357351403701057e-01
3.420845333908885788e+00,2.851058499077128716e-01
3.429571980168857781e+00,2.850438699566419931e-01
3.438298626428829330e+00,2.849497360119371270e-01
3.447025272688800879e+00,2.848234498895242384e-01
3.455751918948772428e+00,2.846650155370408775e-01
3.464478565208743976e+00,2.844744394174140156e-01
3.473205211468715969e+00,2.842517305115397908e-01
3.481931857728687518e+00,2.839968998900397334e-01
3.490658503988659067e+00,2.837099948066756916e-01
3.499385150248630616e+00,2.833910023795962463e-01
3.508111796508602609e+00,2.830399357575398289e-01
3.516838442768574158e+00,2.826568165946510836e-01
3.525565089028545707e+00,2.822416690779059323e-01
3.534291735288517255e+00,2.817945194923007213e-01
3.543018381548488804e+00,2.813153974927233847e-01
3.551745027808460797e+00,2.808043349452297166e-01
3.560471674068432346e+00,2.802613661867703332e-01
3.569198320328403895e+00,2.796865280938526932e-01
3.577924966588375444e+00,2.790798600833725440e-01
3.586651612848347437e+00,2.784414041132801110e-01
3.595378259108318986e+00,2.777712046830517201e-01
3.604104905368290535e+00,2.770693088339964971e-01
3.612831551628262083e+00,2.763357661493773820e-01
3.621558197888233632e+00,2.755706287543489563e-01
3.630284844148205625e+00,2.747739513157193003e-01
3.639011490408177174e+00,2.739457910414904718e-01
3.647738136668148723e+00,2.730862076802484939e-01
3.656464782928120272e+00,2.721952635203241933e-01
3.665191429188092265e+00,2.712730233887643005e-01
3.673918075448063814e+00,2.703195546501059865e-01
3.682644721708035362e+00,2.693349272049269105e-01
3.691371367968006911e+00,2.683192134882000368e-01
3.700098014227978460e+00,2.672724884674153589e-01
3.708824660487950453e+00,2.661948287873880381e-01
3.717551306747922002e+00,2.650863152033385850e-01
3.726277953007893551e+00,2.639470302676131253e-01
3.735004599267865100e+00,2.627770589779536703e-01
3.743731245527837093e+00,2.615764877195530524e-01
3.752457891787808641e+00,2.603454077329946381e-01
3.761184538047780190e+00,2.590839112345472706e-01
3.769911184307751739e+00,2.577920923740726344e-01
3.778637830567723288e+00,2.564700499905707698e-01
3.787364476827695281e+00,2.551178822282960668e-01
3.796091123087666830e+00,2.537356934193827351e-01
3.804817769347638379e+00,2.523437541600986878e-01
3.813544415607609928e+00,2.509550271793256071e-01
3.822271061867581921e+00,2.495693891848827506e-01
3.830997708127553469e+00,2.481781614068537811e-01
3.839724354387525018e+00,2.467904632404500087e-01
3.848451000647496567e+00,2.454059420498677924e-01
3.857177646907468116e+00,2.440163772903869710e-01
3.865904293167440109e+00,2.426306590765400228e-01
3.874630939427411658e+00,2.412482054656459596e-01
3.883357585687383207e+00,2.398612540658692505e-01
3.892084231947354755e+00,2.384812176708396292e-01
3.900810878207326748e+00,2.370990288619266306e-01
3.909537524467298297e+00,2.357189174718206104e-01
3.918264170727269846e+00,2.343434446120777337e-01
3.926990816987241395e+00,2.329645633519493997e-01
3.935717463247212944e+00,2.315904755296624151e-01
3.944444109507184937e+00,2.302199108485956103e-01
3.953170755767156486e+00,2.288464809431149105e-01
3.961897402027128035e+00,2.274781580818540927e-01
3.970624048287099583e+00,2.261134423731335497e-01
3.979350694547071576e+00,2.247464033165786634e-01
3.988077340807043125e+00,2.233847835396083059e-01
3.996803987067014674e+00,2.220268534840436903e-01
4.005530633326986667e+00,2.206671404435181782e-01
4.014257279586957772e+00,2.193151126187853073e-01
4.022983925846929765e+00,2.179636557932934648e-01
