n,order,round,lower,upper,width,lower_float,upper_float,width_float,rho
3,3,3,2399464975995405/1385331749802026,1385331749802026/799821658665135,1/1108018337928130240483678563510,1.7320508075688772,1.7320508075688772,9.0251213880619303e-31,1.302664065716651130377303567657120399161618812163172740195702881949908280750060753084898838506710357E-31
3,3,4,18419675794736510614130299375140944485836059715/10634604778476758291777057017318241822792488226,10634604778476758291777057017318241822792488226/6139891931578836871376766458380314828612019905,1/65295324074899192065021193326055797690961342790206140311732107180933148862515700606790138530,1.7320508075688772,1.7320508075688772,1.5315032342176852e-92,2.210534461961933162870519466537113623970400385989508437571231806344141384651234470791578370576989643E-93
3,4,0,3/2,2,1/2,1.5,2,0.5,0.07179676972449082589021463397651053222877898475847748777677208219226793236479985167541525297100569739
3,4,1,168/97,97/56,1/5432,1.731958762886598,1.7321428571428572,0.00018409425625920471,0.00002657171708311782294588020260553336372260402485680171297523419970430279639715042782706925147386007933
3,4,2,1226567328/708158977,708158977/408855776,1/289534888072701152,1.7320508075688772,1.7320508075688772,3.4538152091325989e-18,4.985152851809824231096504144732511697400252321864185005443418103918778900268817201241547321296521036E-19
3,4,3,3484766425578155422712284885747939968/2011930833870518011412817828051050497,2011930833870518011412817828051050497/1161588808526051807570761628582646656,1/2337036340152480895084481180072307325221359318138387870829056685364188032,1.7320508075688772,1.7320508075688772,4.2789236214219699e-73,6.176094261674556473341982885236419826174936095085609620352296662242924460652943544749969007269997268E-74
3,4,4,227040220676828994155816593517739358450827902864642425092020249652968120963672475984897151270540060515601369718606250598327756938162463762509654528/131081732524639257263029684778781519606823938779762272955953002674777886915618467507978140924466713499653991209332471638471950804459698303648792577,131081732524639257263029684778781519606823938779762272955953002674777886915618467507978140924466713499653991209332471638471950804459698303648792577/75680073558942998051938864505913119483609300954880808364006749884322706987890825328299050423513353505200456572868750199442585646054154587503218176,1/9920275159698389855496078413113844069044323392700102660649332276794320658509141130741529842300521681186588553799789667373505768173231347863727059841132366727355737149154827905565145204536273001844367810936202275326863722026246909073681846560432860122314638447397073572192742928540244200279552,1.7320508075688772,1.7320508075688772,1.0080365553392607e-292,0
10,2,0,20/11,11/2,81/22,1.8181818181818181,5.5,3.6818181818181817,0.2698738636122383875561565931476590681029577020949439459045652651497017864181915834673220152013677409
10,2,1,440/161,161/44,6561/7084,2.7329192546583849,3.6590909090909092,0.92617165443252403,0.07283190226099704682817806164871876455743679104409815532432117750869105218095913427750233203506682181
10,2,2,141680/45281,45281/14168,43046721/641541208,3.128906163733133,3.196005081874647,0.067098918141513988,0.005304485986955426741878009302129058962138495737786487194204309943923040331050315262790152988831201836
10,2,3,12830824160/4057691201,4057691201/1283082416,1853020188851841/5206352229561021616,3.1620997075474597,3.1624556228038903,0.00035591525643052395,0.00002813757158580648772279591958853809467003531313022911185298669942011018544206096903903515551017045505
