s,x,y,kappa
3.121869782971619656e-01,1.856005519680450078e-01,2.113394986657467500e-01,3.639551986813308826e+00
3.138564273789649639e-01,1.856223026926904773e-01,2.130088034896075178e-01,3.627607892051457394e+00
3.155258764607679622e-01,1.856339434127877996e-01,2.146782094408875852e-01,3.615729197404208506e+00
3.171953255425709606e-01,1.856355071129027201e-01,2.163476552625694105e-01,3.603915700921483722e+00
3.188647746243739589e-01,1.856270264787414359e-01,2.180170802923148410e-01,3.592167194089338711e+00
3.205342237061769572e-01,1.856085346514347867e-01,2.196864244612188877e-01,3.580483462071221812e+00
3.222036727879799556e-01,1.855800647054499375e-01,2.213556282910815187e-01,3.568864283954282790e+00
3.238731218697829539e-01,1.855416502128798273e-01,2.230246328850443438e-01,3.557309433037100455e+00
3.255425709515860078e-01,1.854933245814647524e-01,2.246933799309362434e-01,3.545818677018504506e+00
3.272120200333890061e-01,1.854351216320256901e-01,2.263618116888400644e-01,3.534391778294029063e+00
3.288814691151920044e-01,1.853670751473513456e-01,2.280298709947933267e-01,3.523028494130247879e+00
3.305509181969950028e-01,1.852892191677605327e-01,2.296975012503472968e-01,3.511728576933818236e+00
3.322203672787980011e-01,1.852015878493969980e-01,2.313646464211965292e-01,3.500491774449926208e+00
3.338898163606009994e-01,1.851042154236086645e-01,2.330312510347712918e-01,3.489317829962912842e+00
3.355592654424039978e-01,1.849971363339737163e-01,2.346972601708889883e-01,3.478206482538575450e+00
3.372287145242069961e-01,1.848803851003622822e-01,2.363626194621648580e-01,3.467157467193753728e+00
3.388981636060100500e-01,1.847539963409763342e-01,2.380272750892407085e-01,3.456170515096359974e+00
3.405676126878130483e-01,1.846180048264735307e-01,2.396911737736638348e-01,3.445245353775202801e+00
3.422370617696160466e-01,1.844724454243062417e-01,2.413542627758914760e-01,3.434381707290176777e+00
3.439065108514190450e-01,1.843173530925206194e-01,2.430164898913385052e-01,3.423579296410690809e+00
3.455759599332220433e-01,1.841527628788376669e-01,2.446778034461154494e-01,3.412837838791092704e+00
