s,x,y,kappa
2.303839732888146863e-01,1.818711007355056086e-01,1.164529740398321939e-01,2.222987212635692700e+01
2.320534223706177124e-01,1.820335086828030746e-01,1.181144048106289868e-01,2.305891870656323661e+01
2.337228714524207107e-01,1.821318787363934710e-01,1.197808467401094146e-01,2.378097265237203928e+01
2.353923205342237090e-01,1.821640581092390521e-01,1.214498732416999932e-01,2.436212733352226323e+01
2.370617696160267074e-01,1.821283953466324712e-01,1.231188242406449362e-01,2.477013884842375901e+01
2.387312186978297335e-01,1.820238108263234900e-01,1.247848739600527362e-01,2.497759867500231223e+01
2.404006677796327318e-01,1.818499160368987899e-01,1.264451200314528345e-01,2.496512378312694480e+01
2.420701168614357301e-01,1.816070491945303844e-01,1.280966878027714750e-01,2.472397257970168738e+01
2.437395659432387285e-01,1.812962903135592607e-01,1.297368404374561190e-01,2.425753227319466987e+01
2.454090150250417546e-01,1.809194299483501966e-01,1.313630833402320841e-01,2.358130749285292183e+01
2.470784641068447529e-01,1.804788959735167675e-01,1.329732519447673900e-01,2.272137392276874479e+01
2.487479131886477512e-01,1.799776470802374184e-01,1.345655742197096882e-01,2.171161158829719540e+01
2.504173622704507496e-01,1.794190454878275554e-01,1.361387032423204135e-01,2.059027450241170953e+01
2.520868113522537479e-01,1.788067213647811515e-01,1.376917198955492638e-01,1.939651539884010134e+01
2.537562604340567463e-01,1.781444418853445621e-01,1.392241095043983967e-01,1.816738991849037532e+01
2.554257095158598001e-01,1.774359942693680969e-01,1.407357188892017219e-01,1.693565628656973487e+01
2.570951585976627984e-01,1.766850886296745526e-01,1.422267012713346601e-01,1.572846588042815696e+01
2.587646076794657968e-01,1.758952834997787873e-01,1.436974560800449996e-01,1.456686749041867834e+01
2.604340567612687951e-01,1.750699331647861678e-01,1.451485694592121178e-01,1.346594460775115998e+01
2.621035058430717934e-01,1.742121551325054862e-01,1.465807596114455935e-01,1.243537780070252374e+01
2.637729549248747918e-01,1.733248140386952352e-01,1.479948294643191331e-01,1.148023797826736647e+01
2.654424040066777901e-01,1.724105187634724090e-01,1.493916277839774376e-01,1.060186007121157381e+01
2.671118530884807885e-01,1.714716292528376818e-01,1.507720188216705448e-01,9.798692256594984329e+00
2.687813021702837868e-01,1.705102700677010030e-01,1.521368599001766131e-01,9.067058110842301843e+00
2.704507512520868406e-01,1.695283482821120513e-01,1.534869859874906373e-01,8.401801530287167807e+00
2.721202003338898390e-01,1.685275738617540986e-01,1.548232001578644101e-01,7.796806374505197645e+00
2.737896494156928373e-01,1.675094811088010671e-01,1.561462688343384642e-01,7.245396470720105064e+00
2.754590984974958356e-01,1.664754501907992623e-01,1.574569208018768152e-01,6.740629132533779710e+00
2.771285475792988340e-01,1.654267281418362878e-01,1.587558491328372179e-01,6.275498483703684016e+00
2.787979966611018323e-01,1.643644489496172978e-01,1.600437153154248282e-01,5.843065257033788207e+00
2.804674457429048307e-01,1.632896525334182891e-01,1.613211550259971705e-01,5.436528748875185890e+00
2.821368948247078290e-01,1.622033025487067126e-01,1.625887851169347809e-01,5.049255033563518680e+00
2.838063439065108828e-01,1.611063030994381584e-01,1.638472115273315322e-01,4.674773503816601838e+00
2.854757929883138812e-01,1.599995144569779371e-01,1.650970379004149113e-01,4.306752193168625453e+00
2.871452420701168795e-01,1.588837679213941367e-01,1.663388747554706559e-01,3.938961117308042326e+00
2.888146911519198778e-01,1.577598800193043826e-01,1.675733491277426046e-01,3.565231680710453155e+00
2.904841402337228762e-01,1.566286662238245975e-01,1.688011146131369322e-01,3.179419753190883213e+00
2.921535893155258745e-01,1.554909543355864066e-01,1.700228617297035449e-01,2.775380279471437284e+00
2.938230383973288729e-01,1.543475977147477085e-01,1.712393285335595261e-01,2.346961169944829173e+00
2.954924874791318712e-01,1.531994884844505300e-01,1.724513113649298601e-01,1.888025248449669347e+00
2.971619365609349250e-01,1.520475707568500479e-01,1.736596755059036101e-01,1.392509917525357466e+00
2.988313856427379234e-01,1.508928539775144517e-01,1.748653655291788345e-01,8.545347718958726801e-01
3.005008347245409217e-01,1.497364262584174321e-01,1.760694148711073881e-01,2.685683116417030836e-01
3.021702838063439200e-01,1.485794676519434920e-01,1.772729541831718214e-01,-3.703356205738546625e-01
3.038397328881469184e-01,1.474232629989347121e-01,1.784772176782527531e-01,-1.066222614365937460e+00
3.055091819699499167e-01,1.462692140355921488e-01,1.796835467154274113e-01,-1.821838332785614911e+00
