s,x,y,kappa
4.390651085141903387e-01,-1.904332705031828998e-02,3.503490582252750674e-01,1.979276136049483492e+00
4.407345575959933370e-01,-1.999221638609139165e-02,3.517226180923379020e-01,1.979611733615455949e+00
4.424040066777963354e-01,-2.094563994693752346e-02,3.530930345215299582e-01,1.979903717907276706e+00
4.440734557595993337e-01,-2.190358798774730276e-02,3.544602920798704537e-01,1.980152975514370084e+00
4.457429048414023320e-01,-2.286605060865259942e-02,3.558243754269839187e-01,1.980360362955365439e+00
4.474123539232053304e-01,-2.383301776500568528e-02,3.571852693233718568e-01,1.980526710322309647e+00
4.490818030050083842e-01,-2.480447926291808394e-02,3.585429586220328924e-01,1.980652819427760170e+00
4.507512520868113826e-01,-2.578042476941444852e-02,3.598974282771124078e-01,1.980739468671377512e+00
4.524207011686143809e-01,-2.676084380784404457e-02,3.612486633355494470e-01,1.980787409032664259e+00
4.540901502504173792e-01,-2.774572576703742549e-02,3.625966489447327024e-01,1.980797373229232994e+00
4.557595993322203776e-01,-2.873505989967945623e-02,3.639413703477369921e-01,1.980770061390959791e+00
4.574290484140233759e-01,-2.972883532522043598e-02,3.652828128838886967e-01,1.980706164886316012e+00
4.590984974958263742e-01,-3.072704103530150138e-02,3.666209619923216367e-01,1.980606345081485919e+00
4.607679465776293726e-01,-3.172966589316199987e-02,3.679558032086184260e-01,1.980471246601522406e+00
4.624373956594324264e-01,-3.273669863639069866e-02,3.692873221653906191e-01,1.980301494950333474e+00
4.641068447412354248e-01,-3.374812788007456460e-02,3.706155045933851033e-01,1.980097697051593109e+00
4.657762938230384231e-01,-3.476394211918133054e-02,3.719403363217596015e-01,1.979860442139223631e+00
4.674457429048414214e-01,-3.578412973059543617e-02,3.732618032780121720e-01,1.979590302570679361e+00
4.691151919866444198e-01,-3.680867897448867471e-02,3.745798914871842356e-01,1.979287834650617084e+00
4.707846410684474181e-01,-3.783757799707018754e-02,3.758945870727225524e-01,1.978953579107516569e+00
4.724540901502504164e-01,-3.887081483265698856e-02,3.772058762565989043e-01,1.978588061734426473e+00
4.741235392320534148e-01,-3.990837740568722869e-02,3.785137453594084045e-01,1.978191793998234527e+00
4.757929883138564686e-01,-4.095025353270510121e-02,3.798181808004791327e-01,1.977765273618041553e+00
4.774624373956594670e-01,-4.199643092431840086e-02,3.811191690979918167e-01,1.977308985116832618e+00
4.791318864774624653e-01,-4.304689718713007596e-02,3.824166968691101176e-01,1.976823400348951099e+00
